complaint_id,case_id,victim_account,reported_amount_inr,city,state,crime_type,timestamp_min
CMP_000044,CASE_000044,ACC_0011646,5799.78,Hyderabad,Telangana,JOB_FRAUD,216775
CMP_000045,CASE_000045,ACC_0013150,54937.49,Pune,Maharashtra,JOB_FRAUD,149750
CMP_000046,CASE_000046,ACC_0077592,123559.39,Nagpur,Maharashtra,PHISHING,63806
CMP_000047,CASE_000047,ACC_0093227,22281.05,Kolkata,West Bengal,UPI_FRAUD,159650
CMP_000048,CASE_000048,ACC_0039358,6650.24,Hyderabad,Telangana,INVESTMENT_FRAUD,16721
CMP_000049,CASE_000049,ACC_0001010,248903.45,Kolkata,West Bengal,ROMANCE_FRAUD,154867
CMP_000050,CASE_000050,ACC_0090170,22306.08,Kolkata,West Bengal,JOB_FRAUD,73448
CMP_000051,CASE_000051,ACC_0056349,299771.31,Bengaluru,Karnataka,REMOTE_ACCESS,92184
CMP_000052,CASE_000052,ACC_0015144,5959.52,Nagpur,Maharashtra,JOB_FRAUD,210733
CMP_000053,CASE_000053,ACC_0061074,31098.5,Chennai,Tamil Nadu,REMOTE_ACCESS,19697
CMP_000054,CASE_000054,ACC_0071463,31746.75,Delhi,Delhi,INVESTMENT_FRAUD,222394
CMP_000055,CASE_000055,ACC_0038133,181110.01,Mumbai,Maharashtra,REMOTE_ACCESS,128525
CMP_000056,CASE_000056,ACC_0064579,18330.41,Mumbai,Maharashtra,JOB_FRAUD,198735
CMP_000057,CASE_000057,ACC_0058727,208388.74,Ahmedabad,Gujarat,INVESTMENT_FRAUD,31873
CMP_000058,CASE_000058,ACC_0000874,102520.54,Chennai,Tamil Nadu,UPI_FRAUD,225466
CMP_000059,CASE_000059,ACC_0002498,16905.89,Delhi,Delhi,PHISHING,125965
CMP_000060,CASE_000060,ACC_0054949,3782.7,Mumbai,Maharashtra,UPI_FRAUD,22414
CMP_000061,CASE_000061,ACC_0043617,61377.53,Nashik,Maharashtra,DIGITAL_ARREST,125333
CMP_000062,CASE_000062,ACC_0064924,129440.84,Nagpur,Maharashtra,UPI_FRAUD,128076
CMP_000063,CASE_000063,ACC_0077823,137984.78,Mumbai,Maharashtra,PHISHING,219683
CMP_000064,CASE_000064,ACC_0064927,4698.09,Nagpur,Maharashtra,ROMANCE_FRAUD,189786
CMP_000065,CASE_000065,ACC_0097621,187428.65,Hyderabad,Telangana,DIGITAL_ARREST,236079
CMP_000066,CASE_000066,ACC_0049748,96154.56,Chennai,Tamil Nadu,UPI_FRAUD,198029
CMP_000067,CASE_000067,ACC_0077318,174297.78,Nagpur,Maharashtra,REMOTE_ACCESS,47412
CMP_000068,CASE_000068,ACC_0063754,371963.8,Nashik,Maharashtra,JOB_FRAUD,217661
CMP_000069,CASE_000069,ACC_0041912,120747.82,Kolkata,West Bengal,ROMANCE_FRAUD,9186
CMP_000070,CASE_000070,ACC_0092496,21665.76,Delhi,Delhi,ROMANCE_FRAUD,108612
CMP_000071,CASE_000071,ACC_0017941,9629.44,Delhi,Delhi,UPI_FRAUD,49727
CMP_000072,CASE_000072,ACC_0024125,27487.98,Bengaluru,Karnataka,INVESTMENT_FRAUD,102650
CMP_000073,CASE_000073,ACC_0053183,66822.63,Hyderabad,Telangana,DIGITAL_ARREST,102452
CMP_000074,CASE_000074,ACC_0025957,72835.68,Delhi,Delhi,UPI_FRAUD,231688
CMP_000075,CASE_000075,ACC_0036173,14289.87,Bengaluru,Karnataka,REMOTE_ACCESS,105353
CMP_000076,CASE_000076,ACC_0007598,28759.14,Kolkata,West Bengal,DIGITAL_ARREST,21462
CMP_000077,CASE_000077,ACC_0039015,26826.15,Mumbai,Maharashtra,ROMANCE_FRAUD,74355
CMP_000078,CASE_000078,ACC_0080381,31951.14,Nashik,Maharashtra,REMOTE_ACCESS,152055
CMP_000079,CASE_000079,ACC_0010898,19122.69,Hyderabad,Telangana,DIGITAL_ARREST,227084
CMP_000080,CASE_000080,ACC_0067877,59844.2,Chennai,Tamil Nadu,UPI_FRAUD,21537
CMP_000081,CASE_000081,ACC_0089520,134757.32,Delhi,Delhi,INVESTMENT_FRAUD,157925
CMP_000082,CASE_000082,ACC_0048091,179682.18,Hyderabad,Telangana,DIGITAL_ARREST,149058
CMP_000083,CASE_000083,ACC_0068612,107423.03,Bengaluru,Karnataka,UPI_FRAUD,41214
CMP_000084,CASE_000084,ACC_0023868,28339.98,Hyderabad,Telangana,JOB_FRAUD,182300
CMP_000085,CASE_000085,ACC_0044144,32608.37,Delhi,Delhi,INVESTMENT_FRAUD,59059
CMP_000086,CASE_000086,ACC_0075878,18305.28,Pune,Maharashtra,INVESTMENT_FRAUD,213988
CMP_000087,CASE_000087,ACC_0084300,45357.87,Ahmedabad,Gujarat,INVESTMENT_FRAUD,108164
CMP_000088,CASE_000088,ACC_0021109,32811.85,Nashik,Maharashtra,PHISHING,18204
CMP_000089,CASE_000089,ACC_0014228,111782.24,Kolkata,West Bengal,DIGITAL_ARREST,130735
CMP_000090,CASE_000090,ACC_0068465,39829.93,Kolkata,West Bengal,PHISHING,205917
CMP_000091,CASE_000091,ACC_0086904,361686.83,Chennai,Tamil Nadu,ROMANCE_FRAUD,72854
CMP_000092,CASE_000092,ACC_0070594,77580.1,Bengaluru,Karnataka,ROMANCE_FRAUD,114226
CMP_000093,CASE_000093,ACC_0034838,34921.56,Delhi,Delhi,JOB_FRAUD,34667
CMP_000094,CASE_000094,ACC_0014455,7982.59,Nashik,Maharashtra,INVESTMENT_FRAUD,150879
CMP_000095,CASE_000095,ACC_0094383,39483.33,Chennai,Tamil Nadu,REMOTE_ACCESS,93529
CMP_000096,CASE_000096,ACC_0023434,5700.03,Bengaluru,Karnataka,UPI_FRAUD,106844
CMP_000097,CASE_000097,ACC_0067677,225348.12,Kolkata,West Bengal,ROMANCE_FRAUD,86452
CMP_000098,CASE_000098,ACC_0063109,10275.69,Nagpur,Maharashtra,JOB_FRAUD,213805
CMP_000099,CASE_000099,ACC_0008590,17725.99,Kolkata,West Bengal,DIGITAL_ARREST,104001
CMP_000100,CASE_000100,ACC_0049752,79467.38,Pune,Maharashtra,JOB_FRAUD,48622
CMP_000101,CASE_000101,ACC_0013170,6048.34,Hyderabad,Telangana,INVESTMENT_FRAUD,244493
CMP_000102,CASE_000102,ACC_0020812,17510.69,Nagpur,Maharashtra,REMOTE_ACCESS,113335
CMP_000103,CASE_000103,ACC_0032454,432583.0,Hyderabad,Telangana,ROMANCE_FRAUD,165492
CMP_000104,CASE_000104,ACC_0017260,7259.1,Hyderabad,Telangana,JOB_FRAUD,225237
CMP_000105,CASE_000105,ACC_0013816,77795.02,Nashik,Maharashtra,REMOTE_ACCESS,87866
CMP_000106,CASE_000106,ACC_0074871,528979.32,Pune,Maharashtra,DIGITAL_ARREST,100542
CMP_000107,CASE_000107,ACC_0064863,33035.91,Nagpur,Maharashtra,INVESTMENT_FRAUD,204196
CMP_000108,CASE_000108,ACC_0062149,53084.03,Hyderabad,Telangana,ROMANCE_FRAUD,67770
CMP_000109,CASE_000109,ACC_0073039,49506.97,Bengaluru,Karnataka,ROMANCE_FRAUD,12893
CMP_000110,CASE_000110,ACC_0088960,184695.97,Delhi,Delhi,PHISHING,187504
CMP_000111,CASE_000111,ACC_0076563,68002.64,Mumbai,Maharashtra,JOB_FRAUD,744
CMP_000112,CASE_000112,ACC_0088753,20957.21,Pune,Maharashtra,JOB_FRAUD,159392
CMP_000113,CASE_000113,ACC_0095037,17234.64,Delhi,Delhi,ROMANCE_FRAUD,86827
CMP_000114,CASE_000114,ACC_0005913,66358.94,Nashik,Maharashtra,INVESTMENT_FRAUD,1689
CMP_000115,CASE_000115,ACC_0050621,103831.04,Delhi,Delhi,DIGITAL_ARREST,196522
CMP_000116,CASE_000116,ACC_0043997,34328.51,Mumbai,Maharashtra,PHISHING,205148
CMP_000117,CASE_000117,ACC_0002310,153415.17,Mumbai,Maharashtra,REMOTE_ACCESS,162023
CMP_000118,CASE_000118,ACC_0018418,19521.1,Delhi,Delhi,INVESTMENT_FRAUD,52956
CMP_000119,CASE_000119,ACC_0091008,30170.69,Hyderabad,Telangana,PHISHING,180183
CMP_000120,CASE_000120,ACC_0056742,18815.07,Pune,Maharashtra,ROMANCE_FRAUD,2311
CMP_000121,CASE_000121,ACC_0095462,428983.74,Mumbai,Maharashtra,INVESTMENT_FRAUD,53005
CMP_000122,CASE_000122,ACC_0037890,26213.09,Kolkata,West Bengal,UPI_FRAUD,187338
CMP_000123,CASE_000123,ACC_0089046,141375.08,Hyderabad,Telangana,DIGITAL_ARREST,130551
CMP_000124,CASE_000124,ACC_0086554,150591.14,Nashik,Maharashtra,INVESTMENT_FRAUD,99651
CMP_000125,CASE_000125,ACC_0019782,69894.52,Delhi,Delhi,REMOTE_ACCESS,192907
CMP_000126,CASE_000126,ACC_0076421,94829.62,Delhi,Delhi,ROMANCE_FRAUD,189174
CMP_000127,CASE_000127,ACC_0021265,37161.9,Nashik,Maharashtra,INVESTMENT_FRAUD,203464
CMP_000128,CASE_000128,ACC_0068453,21756.65,Chennai,Tamil Nadu,UPI_FRAUD,179895
CMP_000129,CASE_000129,ACC_0075624,117834.41,Bengaluru,Karnataka,ROMANCE_FRAUD,114645
CMP_000130,CASE_000130,ACC_0046303,166819.44,Delhi,Delhi,INVESTMENT_FRAUD,16545
CMP_000131,CASE_000131,ACC_0085314,18883.92,Nagpur,Maharashtra,JOB_FRAUD,253190
CMP_000132,CASE_000132,ACC_0096002,17996.21,Hyderabad,Telangana,REMOTE_ACCESS,100760
CMP_000133,CASE_000133,ACC_0082204,5068.44,Kolkata,West Bengal,ROMANCE_FRAUD,251486
CMP_000134,CASE_000134,ACC_0000073,26134.73,Nagpur,Maharashtra,PHISHING,96488
CMP_000135,CASE_000135,ACC_0034628,50303.22,Pune,Maharashtra,JOB_FRAUD,216460
CMP_000136,CASE_000136,ACC_0035151,21697.89,Delhi,Delhi,REMOTE_ACCESS,210246
CMP_000137,CASE_000137,ACC_0031812,230600.15,Mumbai,Maharashtra,PHISHING,237798
CMP_000138,CASE_000138,ACC_0078538,32191.4,Nagpur,Maharashtra,UPI_FRAUD,208280
CMP_000139,CASE_000139,ACC_0041740,48659.14,Delhi,Delhi,PHISHING,257089
CMP_000140,CASE_000140,ACC_0033201,15929.89,Kolkata,West Bengal,PHISHING,239825
CMP_000141,CASE_000141,ACC_0026220,64362.03,Chennai,Tamil Nadu,ROMANCE_FRAUD,49003
CMP_000142,CASE_000142,ACC_0017414,210987.15,Mumbai,Maharashtra,DIGITAL_ARREST,135588
CMP_000143,CASE_000143,ACC_0086031,50912.86,Hyderabad,Telangana,DIGITAL_ARREST,18883
CMP_000144,CASE_000144,ACC_0080190,74283.76,Bengaluru,Karnataka,DIGITAL_ARREST,52191
CMP_000145,CASE_000145,ACC_0060047,284254.85,Chennai,Tamil Nadu,REMOTE_ACCESS,177656
CMP_000146,CASE_000146,ACC_0076245,8624.17,Bengaluru,Karnataka,DIGITAL_ARREST,156897
CMP_000147,CASE_000147,ACC_0076178,36716.39,Nagpur,Maharashtra,DIGITAL_ARREST,155298
CMP_000148,CASE_000148,ACC_0015817,10889.08,Mumbai,Maharashtra,REMOTE_ACCESS,154204
CMP_000149,CASE_000149,ACC_0011974,50069.19,Ahmedabad,Gujarat,REMOTE_ACCESS,122154
CMP_000150,CASE_000150,ACC_0093562,94634.13,Delhi,Delhi,PHISHING,58765
CMP_000151,CASE_000151,ACC_0045503,44765.41,Mumbai,Maharashtra,PHISHING,84585
CMP_000152,CASE_000152,ACC_0054021,444898.73,Ahmedabad,Gujarat,UPI_FRAUD,122937
CMP_000153,CASE_000153,ACC_0003663,43889.89,Nagpur,Maharashtra,INVESTMENT_FRAUD,21698
CMP_000154,CASE_000154,ACC_0050011,69955.94,Delhi,Delhi,REMOTE_ACCESS,256809
CMP_000155,CASE_000155,ACC_0067391,18514.61,Mumbai,Maharashtra,JOB_FRAUD,108543
CMP_000156,CASE_000156,ACC_0007195,100025.82,Nashik,Maharashtra,JOB_FRAUD,75411
CMP_000157,CASE_000157,ACC_0085307,20804.47,Kolkata,West Bengal,PHISHING,167101
CMP_000158,CASE_000158,ACC_0058353,97167.21,Ahmedabad,Gujarat,DIGITAL_ARREST,121522
CMP_000159,CASE_000159,ACC_0079336,37663.26,Chennai,Tamil Nadu,JOB_FRAUD,102665
CMP_000160,CASE_000160,ACC_0063793,35321.0,Ahmedabad,Gujarat,ROMANCE_FRAUD,183365
CMP_000161,CASE_000161,ACC_0094286,73463.29,Pune,Maharashtra,UPI_FRAUD,113857
CMP_000162,CASE_000162,ACC_0028340,21278.6,Ahmedabad,Gujarat,UPI_FRAUD,158424
CMP_000163,CASE_000163,ACC_0008797,53063.01,Nashik,Maharashtra,INVESTMENT_FRAUD,252642
CMP_000164,CASE_000164,ACC_0022621,10717.11,Pune,Maharashtra,REMOTE_ACCESS,247637
CMP_000165,CASE_000165,ACC_0082250,65977.19,Delhi,Delhi,INVESTMENT_FRAUD,8139
CMP_000166,CASE_000166,ACC_0093682,15846.8,Delhi,Delhi,REMOTE_ACCESS,31742
CMP_000167,CASE_000167,ACC_0008554,147317.23,Ahmedabad,Gujarat,ROMANCE_FRAUD,136542
CMP_000168,CASE_000168,ACC_0067855,37133.14,Hyderabad,Telangana,PHISHING,215124
CMP_000169,CASE_000169,ACC_0031452,15247.6,Delhi,Delhi,DIGITAL_ARREST,120377
CMP_000170,CASE_000170,ACC_0010625,47295.37,Pune,Maharashtra,JOB_FRAUD,181530
CMP_000171,CASE_000171,ACC_0092866,48590.8,Mumbai,Maharashtra,UPI_FRAUD,13334
CMP_000172,CASE_000172,ACC_0011999,24799.13,Nashik,Maharashtra,INVESTMENT_FRAUD,73185
CMP_000173,CASE_000173,ACC_0075144,655087.35,Chennai,Tamil Nadu,PHISHING,1712
CMP_000174,CASE_000174,ACC_0028861,60845.55,Pune,Maharashtra,UPI_FRAUD,31076
CMP_000175,CASE_000175,ACC_0018502,76354.5,Nagpur,Maharashtra,DIGITAL_ARREST,210140
CMP_000176,CASE_000176,ACC_0017622,15445.59,Nashik,Maharashtra,ROMANCE_FRAUD,238961
CMP_000177,CASE_000177,ACC_0057415,6043.12,Nashik,Maharashtra,UPI_FRAUD,136064
CMP_000178,CASE_000178,ACC_0010726,26420.95,Nashik,Maharashtra,ROMANCE_FRAUD,64022
CMP_000179,CASE_000179,ACC_0030124,33595.17,Delhi,Delhi,PHISHING,132752
CMP_000180,CASE_000180,ACC_0083089,19701.49,Bengaluru,Karnataka,INVESTMENT_FRAUD,170707
CMP_000181,CASE_000181,ACC_0091411,41217.13,Ahmedabad,Gujarat,DIGITAL_ARREST,175396
CMP_000182,CASE_000182,ACC_0034582,121188.89,Nashik,Maharashtra,UPI_FRAUD,55759
CMP_000183,CASE_000183,ACC_0036918,122014.55,Ahmedabad,Gujarat,JOB_FRAUD,178050
CMP_000184,CASE_000184,ACC_0083443,249736.26,Nagpur,Maharashtra,UPI_FRAUD,108592
CMP_000185,CASE_000185,ACC_0092932,150605.87,Mumbai,Maharashtra,DIGITAL_ARREST,257316
CMP_000186,CASE_000186,ACC_0008303,263834.81,Nagpur,Maharashtra,REMOTE_ACCESS,37847
CMP_000187,CASE_000187,ACC_0084059,80638.41,Ahmedabad,Gujarat,REMOTE_ACCESS,181660
CMP_000188,CASE_000188,ACC_0025745,96387.5,Ahmedabad,Gujarat,INVESTMENT_FRAUD,162399
CMP_000189,CASE_000189,ACC_0053166,10481.68,Bengaluru,Karnataka,JOB_FRAUD,209933
CMP_000190,CASE_000190,ACC_0011505,89129.85,Pune,Maharashtra,PHISHING,199571
CMP_000191,CASE_000191,ACC_0068802,26356.07,Nagpur,Maharashtra,UPI_FRAUD,251264
CMP_000192,CASE_000192,ACC_0019265,10626.79,Ahmedabad,Gujarat,ROMANCE_FRAUD,137658
CMP_000193,CASE_000193,ACC_0036618,46880.32,Chennai,Tamil Nadu,ROMANCE_FRAUD,198121
CMP_000194,CASE_000194,ACC_0019597,18433.24,Bengaluru,Karnataka,PHISHING,17934
CMP_000195,CASE_000195,ACC_0096299,825855.37,Ahmedabad,Gujarat,JOB_FRAUD,38775
CMP_000196,CASE_000196,ACC_0045635,135055.21,Kolkata,West Bengal,JOB_FRAUD,208952
CMP_000197,CASE_000197,ACC_0099372,64525.84,Mumbai,Maharashtra,UPI_FRAUD,174670
CMP_000198,CASE_000198,ACC_0097130,28413.97,Hyderabad,Telangana,REMOTE_ACCESS,51066
CMP_000199,CASE_000199,ACC_0055562,36522.72,Kolkata,West Bengal,INVESTMENT_FRAUD,20995
CMP_000200,CASE_000200,ACC_0087251,559222.81,Bengaluru,Karnataka,REMOTE_ACCESS,29513
CMP_000201,CASE_000201,ACC_0012087,10292.12,Kolkata,West Bengal,JOB_FRAUD,115318
CMP_000202,CASE_000202,ACC_0008118,25293.87,Kolkata,West Bengal,DIGITAL_ARREST,21223
CMP_000203,CASE_000203,ACC_0068673,49702.49,Bengaluru,Karnataka,UPI_FRAUD,139055
CMP_000204,CASE_000204,ACC_0089250,472670.56,Chennai,Tamil Nadu,ROMANCE_FRAUD,122172
CMP_000205,CASE_000205,ACC_0012384,49976.58,Pune,Maharashtra,REMOTE_ACCESS,22606
CMP_000206,CASE_000206,ACC_0018620,5643.94,Pune,Maharashtra,DIGITAL_ARREST,120886
CMP_000207,CASE_000207,ACC_0093407,77413.02,Bengaluru,Karnataka,JOB_FRAUD,84725
CMP_000208,CASE_000208,ACC_0036170,17448.26,Hyderabad,Telangana,PHISHING,127467
CMP_000209,CASE_000209,ACC_0087930,92287.49,Chennai,Tamil Nadu,JOB_FRAUD,141517
CMP_000210,CASE_000210,ACC_0031800,86720.1,Nashik,Maharashtra,INVESTMENT_FRAUD,33987
CMP_000211,CASE_000211,ACC_0017433,132194.32,Hyderabad,Telangana,DIGITAL_ARREST,105367
CMP_000212,CASE_000212,ACC_0094773,36303.32,Pune,Maharashtra,JOB_FRAUD,3728
CMP_000213,CASE_000213,ACC_0031329,15248.72,Delhi,Delhi,UPI_FRAUD,8769
CMP_000214,CASE_000214,ACC_0068302,76621.61,Kolkata,West Bengal,PHISHING,72619
CMP_000215,CASE_000215,ACC_0079552,12177.46,Delhi,Delhi,UPI_FRAUD,80374
CMP_000216,CASE_000216,ACC_0066428,94918.17,Nashik,Maharashtra,JOB_FRAUD,189510
CMP_000217,CASE_000217,ACC_0043677,79865.57,Ahmedabad,Gujarat,PHISHING,46938
CMP_000218,CASE_000218,ACC_0067920,326934.54,Delhi,Delhi,JOB_FRAUD,118539
CMP_000219,CASE_000219,ACC_0047919,275265.28,Nagpur,Maharashtra,REMOTE_ACCESS,69342
CMP_000220,CASE_000220,ACC_0071966,3687.34,Ahmedabad,Gujarat,ROMANCE_FRAUD,22002
CMP_000221,CASE_000221,ACC_0068214,117518.83,Nashik,Maharashtra,JOB_FRAUD,144930
CMP_000222,CASE_000222,ACC_0033461,68118.04,Bengaluru,Karnataka,ROMANCE_FRAUD,7937
CMP_000223,CASE_000223,ACC_0065777,750722.11,Nagpur,Maharashtra,DIGITAL_ARREST,175366
CMP_000224,CASE_000224,ACC_0014272,28739.03,Mumbai,Maharashtra,UPI_FRAUD,98112
CMP_000225,CASE_000225,ACC_0054722,8124.31,Kolkata,West Bengal,UPI_FRAUD,91277
CMP_000226,CASE_000226,ACC_0001627,50174.93,Hyderabad,Telangana,UPI_FRAUD,148406
CMP_000227,CASE_000227,ACC_0088287,210114.54,Nashik,Maharashtra,REMOTE_ACCESS,108562
CMP_000228,CASE_000228,ACC_0077154,46237.36,Nashik,Maharashtra,REMOTE_ACCESS,217919
CMP_000229,CASE_000229,ACC_0089479,17350.37,Delhi,Delhi,REMOTE_ACCESS,37467
CMP_000230,CASE_000230,ACC_0063344,106021.97,Bengaluru,Karnataka,REMOTE_ACCESS,173396
CMP_000231,CASE_000231,ACC_0068368,41216.63,Delhi,Delhi,REMOTE_ACCESS,169862
CMP_000232,CASE_000232,ACC_0043780,58072.76,Nashik,Maharashtra,JOB_FRAUD,200262
CMP_000233,CASE_000233,ACC_0080945,443754.71,Nashik,Maharashtra,DIGITAL_ARREST,82197
CMP_000234,CASE_000234,ACC_0009265,25318.26,Bengaluru,Karnataka,PHISHING,87358
CMP_000235,CASE_000235,ACC_0034663,53567.34,Pune,Maharashtra,UPI_FRAUD,153049
CMP_000236,CASE_000236,ACC_0072224,22640.23,Pune,Maharashtra,ROMANCE_FRAUD,101144
CMP_000237,CASE_000237,ACC_0015007,1794269.17,Ahmedabad,Gujarat,UPI_FRAUD,234382
CMP_000238,CASE_000238,ACC_0016167,11001.2,Nagpur,Maharashtra,DIGITAL_ARREST,53816
CMP_000239,CASE_000239,ACC_0052753,90388.43,Chennai,Tamil Nadu,INVESTMENT_FRAUD,203882
CMP_000240,CASE_000240,ACC_0062182,27459.92,Delhi,Delhi,JOB_FRAUD,192178
CMP_000241,CASE_000241,ACC_0024356,61190.15,Bengaluru,Karnataka,UPI_FRAUD,194421
CMP_000242,CASE_000242,ACC_0067864,189749.41,Chennai,Tamil Nadu,ROMANCE_FRAUD,148548
CMP_000243,CASE_000243,ACC_0023394,40045.64,Nashik,Maharashtra,UPI_FRAUD,196573
CMP_000244,CASE_000244,ACC_0001717,226745.0,Pune,Maharashtra,DIGITAL_ARREST,74274
CMP_000245,CASE_000245,ACC_0087677,66334.94,Chennai,Tamil Nadu,REMOTE_ACCESS,220374
CMP_000246,CASE_000246,ACC_0016383,17037.31,Ahmedabad,Gujarat,INVESTMENT_FRAUD,149348
CMP_000247,CASE_000247,ACC_0052258,19619.07,Kolkata,West Bengal,JOB_FRAUD,169859
CMP_000248,CASE_000248,ACC_0052368,109362.63,Kolkata,West Bengal,ROMANCE_FRAUD,191527
CMP_000249,CASE_000249,ACC_0028698,6216.65,Chennai,Tamil Nadu,DIGITAL_ARREST,111863
CMP_000250,CASE_000250,ACC_0095058,30780.92,Hyderabad,Telangana,DIGITAL_ARREST,26666
CMP_000251,CASE_000251,ACC_0031396,133909.41,Nagpur,Maharashtra,UPI_FRAUD,46282
CMP_000252,CASE_000252,ACC_0053045,15634.87,Nashik,Maharashtra,JOB_FRAUD,147039
CMP_000253,CASE_000253,ACC_0095314,35556.81,Nashik,Maharashtra,ROMANCE_FRAUD,200345
CMP_000254,CASE_000254,ACC_0005010,32441.93,Hyderabad,Telangana,INVESTMENT_FRAUD,234083
CMP_000255,CASE_000255,ACC_0096574,40974.61,Hyderabad,Telangana,UPI_FRAUD,138635
CMP_000256,CASE_000256,ACC_0095495,26797.1,Mumbai,Maharashtra,UPI_FRAUD,165330
CMP_000257,CASE_000257,ACC_0009128,6756.63,Mumbai,Maharashtra,ROMANCE_FRAUD,12154
CMP_000258,CASE_000258,ACC_0005001,727617.96,Bengaluru,Karnataka,PHISHING,210585
CMP_000259,CASE_000259,ACC_0039766,16702.23,Kolkata,West Bengal,REMOTE_ACCESS,124430
CMP_000260,CASE_000260,ACC_0020306,125236.95,Bengaluru,Karnataka,UPI_FRAUD,170899
