account_id,bank_id,city,state,account_age_days,account_type,customer_segment
ACC_0000279,BANK_06,Chennai,Tamil Nadu,548,savings,retail
ACC_0000280,BANK_02,Nagpur,Maharashtra,637,savings,retail
ACC_0000281,BANK_15,Ahmedabad,Gujarat,209,savings,retail
ACC_0000282,BANK_06,Nagpur,Maharashtra,1500,savings,retail
ACC_0000283,BANK_04,Mumbai,Maharashtra,1869,savings,retail
ACC_0000284,BANK_03,Chennai,Tamil Nadu,2269,savings,small_business
ACC_0000285,BANK_15,Mumbai,Maharashtra,421,savings,retail
ACC_0000286,BANK_11,Pune,Maharashtra,1772,savings,retail
ACC_0000287,BANK_11,Nagpur,Maharashtra,669,savings,retail
ACC_0000288,BANK_01,Kolkata,West Bengal,281,savings,merchant
ACC_0000289,BANK_09,Ahmedabad,Gujarat,467,savings,merchant
ACC_0000290,BANK_03,Mumbai,Maharashtra,834,savings,retail
ACC_0000291,BANK_01,Hyderabad,Telangana,1045,savings,retail
ACC_0000292,BANK_06,Mumbai,Maharashtra,823,savings,retail
ACC_0000293,BANK_13,Hyderabad,Telangana,515,savings,small_business
ACC_0000294,BANK_15,Nagpur,Maharashtra,1942,savings,retail
ACC_0000295,BANK_05,Kolkata,West Bengal,1296,savings,retail
ACC_0000296,BANK_13,Delhi,Delhi,285,savings,merchant
ACC_0000297,BANK_01,Pune,Maharashtra,1762,savings,retail
ACC_0000298,BANK_09,Bengaluru,Karnataka,776,savings,retail
ACC_0000299,BANK_09,Bengaluru,Karnataka,424,savings,merchant
ACC_0000300,BANK_06,Bengaluru,Karnataka,737,savings,retail
ACC_0000301,BANK_07,Nagpur,Maharashtra,750,savings,retail
ACC_0000302,BANK_10,Nashik,Maharashtra,89,savings,retail
ACC_0000303,BANK_01,Chennai,Tamil Nadu,240,savings,retail
ACC_0000304,BANK_03,Nashik,Maharashtra,787,savings,retail
ACC_0000305,BANK_13,Mumbai,Maharashtra,2150,savings,small_business
ACC_0000306,BANK_07,Bengaluru,Karnataka,306,savings,retail
ACC_0000307,BANK_04,Nagpur,Maharashtra,236,savings,retail
ACC_0000308,BANK_03,Chennai,Tamil Nadu,627,savings,retail
ACC_0000309,BANK_05,Mumbai,Maharashtra,365,savings,retail
ACC_0000310,BANK_12,Nagpur,Maharashtra,398,savings,retail
ACC_0000311,BANK_14,Mumbai,Maharashtra,421,current,retail
ACC_0000312,BANK_04,Hyderabad,Telangana,490,current,other
ACC_0000313,BANK_04,Pune,Maharashtra,5000,savings,small_business
ACC_0000314,BANK_10,Delhi,Delhi,1438,savings,retail
ACC_0000315,BANK_10,Ahmedabad,Gujarat,311,current,retail
ACC_0000316,BANK_11,Bengaluru,Karnataka,1110,savings,retail
ACC_0000317,BANK_15,Chennai,Tamil Nadu,174,savings,retail
ACC_0000318,BANK_15,Pune,Maharashtra,822,savings,retail
ACC_0000319,BANK_07,Ahmedabad,Gujarat,186,savings,retail
ACC_0000320,BANK_13,Hyderabad,Telangana,316,savings,retail
ACC_0000321,BANK_07,Ahmedabad,Gujarat,380,current,retail
ACC_0000322,BANK_03,Hyderabad,Telangana,888,savings,retail
ACC_0000323,BANK_07,Mumbai,Maharashtra,1117,savings,retail
ACC_0000324,BANK_09,Nagpur,Maharashtra,791,savings,small_business
ACC_0000325,BANK_06,Pune,Maharashtra,252,savings,retail
ACC_0000326,BANK_06,Delhi,Delhi,3121,savings,retail
ACC_0000327,BANK_08,Ahmedabad,Gujarat,840,savings,retail
ACC_0000328,BANK_11,Bengaluru,Karnataka,1273,savings,retail
ACC_0000329,BANK_02,Mumbai,Maharashtra,1779,savings,retail
ACC_0000330,BANK_07,Bengaluru,Karnataka,386,savings,retail
ACC_0000331,BANK_09,Nagpur,Maharashtra,1132,savings,retail
ACC_0000332,BANK_15,Mumbai,Maharashtra,462,savings,retail
ACC_0000333,BANK_13,Kolkata,West Bengal,1644,savings,retail
ACC_0000334,BANK_15,Pune,Maharashtra,1521,savings,retail
ACC_0000335,BANK_02,Nashik,Maharashtra,1496,savings,retail
ACC_0000336,BANK_14,Ahmedabad,Gujarat,1249,savings,retail
ACC_0000337,BANK_12,Nashik,Maharashtra,2612,savings,retail
ACC_0000338,BANK_08,Pune,Maharashtra,4046,current,retail
ACC_0000339,BANK_08,Pune,Maharashtra,1460,current,merchant
ACC_0000340,BANK_13,Bengaluru,Karnataka,914,savings,merchant
ACC_0000341,BANK_14,Delhi,Delhi,628,savings,retail
ACC_0000342,BANK_03,Kolkata,West Bengal,122,savings,retail
ACC_0000343,BANK_10,Nashik,Maharashtra,101,savings,retail
ACC_0000344,BANK_13,Nashik,Maharashtra,80,savings,retail
ACC_0000345,BANK_02,Chennai,Tamil Nadu,2962,savings,retail
ACC_0000346,BANK_14,Mumbai,Maharashtra,300,savings,retail
ACC_0000347,BANK_06,Bengaluru,Karnataka,213,current,retail
ACC_0000348,BANK_05,Nashik,Maharashtra,1490,savings,retail
ACC_0000349,BANK_02,Nagpur,Maharashtra,369,savings,merchant
ACC_0000350,BANK_06,Hyderabad,Telangana,135,savings,retail
ACC_0000351,BANK_11,Pune,Maharashtra,209,savings,merchant
ACC_0000352,BANK_01,Chennai,Tamil Nadu,68,savings,small_business
ACC_0000353,BANK_02,Mumbai,Maharashtra,441,savings,retail
ACC_0000354,BANK_03,Kolkata,West Bengal,4702,savings,other
ACC_0000355,BANK_03,Nagpur,Maharashtra,675,savings,retail
ACC_0000356,BANK_02,Nashik,Maharashtra,712,current,small_business
ACC_0000357,BANK_01,Kolkata,West Bengal,828,current,other
ACC_0000358,BANK_04,Pune,Maharashtra,1946,savings,small_business
ACC_0000359,BANK_11,Chennai,Tamil Nadu,457,savings,retail
ACC_0000360,BANK_06,Ahmedabad,Gujarat,760,savings,retail
ACC_0000361,BANK_02,Chennai,Tamil Nadu,1326,savings,merchant
ACC_0000362,BANK_09,Ahmedabad,Gujarat,3245,current,small_business
ACC_0000363,BANK_03,Mumbai,Maharashtra,577,savings,retail
ACC_0000364,BANK_02,Delhi,Delhi,597,savings,retail
ACC_0000365,BANK_09,Hyderabad,Telangana,549,savings,merchant
ACC_0000366,BANK_01,Bengaluru,Karnataka,981,savings,small_business
ACC_0000367,BANK_15,Ahmedabad,Gujarat,132,current,retail
ACC_0000368,BANK_11,Hyderabad,Telangana,27,savings,retail
ACC_0000369,BANK_07,Bengaluru,Karnataka,293,savings,retail
ACC_0000370,BANK_11,Pune,Maharashtra,3442,savings,retail
ACC_0000371,BANK_07,Kolkata,West Bengal,708,current,other
ACC_0000372,BANK_03,Mumbai,Maharashtra,268,savings,retail
ACC_0000373,BANK_07,Mumbai,Maharashtra,356,savings,retail
ACC_0000374,BANK_13,Chennai,Tamil Nadu,1675,savings,retail
ACC_0000375,BANK_11,Pune,Maharashtra,204,savings,retail
ACC_0000376,BANK_12,Nashik,Maharashtra,687,savings,merchant
ACC_0000377,BANK_10,Nashik,Maharashtra,460,current,retail
ACC_0000378,BANK_05,Kolkata,West Bengal,981,savings,retail
ACC_0000379,BANK_11,Ahmedabad,Gujarat,870,savings,merchant
ACC_0000380,BANK_06,Delhi,Delhi,1298,savings,retail
ACC_0000381,BANK_03,Ahmedabad,Gujarat,2190,savings,small_business
ACC_0000382,BANK_13,Mumbai,Maharashtra,2679,savings,small_business
ACC_0000383,BANK_10,Chennai,Tamil Nadu,101,current,retail
ACC_0000384,BANK_02,Nagpur,Maharashtra,241,savings,retail
ACC_0000385,BANK_11,Kolkata,West Bengal,413,savings,small_business
ACC_0000386,BANK_07,Pune,Maharashtra,581,savings,retail
ACC_0000387,BANK_11,Pune,Maharashtra,667,savings,merchant
ACC_0000388,BANK_04,Hyderabad,Telangana,980,savings,retail
ACC_0000389,BANK_01,Mumbai,Maharashtra,341,savings,retail
ACC_0000390,BANK_04,Bengaluru,Karnataka,1224,savings,retail
ACC_0000391,BANK_06,Kolkata,West Bengal,389,savings,merchant
ACC_0000392,BANK_15,Kolkata,West Bengal,250,savings,retail
ACC_0000393,BANK_08,Hyderabad,Telangana,241,savings,retail
ACC_0000394,BANK_13,Ahmedabad,Gujarat,1422,savings,retail
ACC_0000395,BANK_09,Mumbai,Maharashtra,556,savings,retail
ACC_0000396,BANK_10,Bengaluru,Karnataka,518,savings,retail
ACC_0000397,BANK_09,Pune,Maharashtra,1129,current,other
ACC_0000398,BANK_02,Kolkata,West Bengal,2389,savings,retail
ACC_0000399,BANK_07,Nagpur,Maharashtra,915,current,retail
