account_id,mule_type,ground_truth_only
ACC_0006198,cashout_agent,1
ACC_0006213,cashout_agent,1
ACC_0006246,recruited,1
ACC_0006252,recruited,1
ACC_0006313,recruited,1
ACC_0006317,layering_hub,1
ACC_0006343,compromised,1
ACC_0006394,layering_hub,1
ACC_0006407,layering_hub,1
ACC_0006471,compromised,1
ACC_0006526,recruited,1
ACC_0006561,compromised,1
ACC_0006621,cashout_agent,1
ACC_0006625,compromised,1
ACC_0006631,layering_hub,1
ACC_0006654,layering_hub,1
ACC_0006656,compromised,1
ACC_0006657,recruited,1
ACC_0006659,compromised,1
ACC_0006675,layering_hub,1
ACC_0006692,compromised,1
ACC_0006702,cashout_agent,1
ACC_0006744,cashout_agent,1
ACC_0006776,compromised,1
ACC_0006791,layering_hub,1
ACC_0006822,compromised,1
ACC_0006847,layering_hub,1
ACC_0006849,cashout_agent,1
ACC_0006861,layering_hub,1
ACC_0006873,compromised,1
ACC_0006881,compromised,1
ACC_0006884,layering_hub,1
ACC_0006890,layering_hub,1
ACC_0006900,cashout_agent,1
ACC_0006945,layering_hub,1
ACC_0006953,cashout_agent,1
ACC_0007034,recruited,1
ACC_0007054,recruited,1
ACC_0007090,recruited,1
ACC_0007091,layering_hub,1
ACC_0007099,compromised,1
ACC_0007117,compromised,1
ACC_0007133,cashout_agent,1
ACC_0007200,layering_hub,1
ACC_0007213,layering_hub,1
ACC_0007218,cashout_agent,1
ACC_0007227,layering_hub,1
ACC_0007290,layering_hub,1
ACC_0007329,recruited,1
ACC_0007331,compromised,1
ACC_0007377,recruited,1
ACC_0007391,compromised,1
ACC_0007398,compromised,1
ACC_0007460,compromised,1
ACC_0007466,compromised,1
ACC_0007543,recruited,1
ACC_0007576,recruited,1
ACC_0007589,cashout_agent,1
ACC_0007698,compromised,1
ACC_0007725,layering_hub,1
ACC_0007782,compromised,1
ACC_0007826,recruited,1
ACC_0007862,cashout_agent,1
ACC_0007881,cashout_agent,1
ACC_0007891,recruited,1
ACC_0007901,compromised,1
ACC_0007908,cashout_agent,1
ACC_0007911,compromised,1
ACC_0007933,recruited,1
ACC_0007993,layering_hub,1
ACC_0008011,recruited,1
ACC_0008087,cashout_agent,1
ACC_0008094,recruited,1
ACC_0008119,cashout_agent,1
ACC_0008135,cashout_agent,1
ACC_0008142,cashout_agent,1
ACC_0008202,compromised,1
ACC_0008209,recruited,1
ACC_0008229,layering_hub,1
ACC_0008288,cashout_agent,1
ACC_0008320,cashout_agent,1
ACC_0008338,layering_hub,1
ACC_0008363,cashout_agent,1
ACC_0008391,layering_hub,1
ACC_0008419,cashout_agent,1
ACC_0008447,layering_hub,1
ACC_0008450,layering_hub,1
ACC_0008473,recruited,1
ACC_0008480,layering_hub,1
ACC_0008505,layering_hub,1
ACC_0008540,compromised,1
ACC_0008561,compromised,1
ACC_0008610,cashout_agent,1
ACC_0008618,layering_hub,1
ACC_0008632,recruited,1
ACC_0008649,cashout_agent,1
ACC_0008664,cashout_agent,1
ACC_0008667,recruited,1
ACC_0008676,cashout_agent,1
ACC_0008757,cashout_agent,1
ACC_0008767,recruited,1
ACC_0008778,cashout_agent,1
ACC_0008786,cashout_agent,1
ACC_0008789,layering_hub,1
ACC_0008867,compromised,1
ACC_0008874,layering_hub,1
ACC_0008880,cashout_agent,1
ACC_0008937,cashout_agent,1
ACC_0008958,layering_hub,1
ACC_0009036,recruited,1
ACC_0009069,layering_hub,1
ACC_0009075,cashout_agent,1
ACC_0009082,compromised,1
ACC_0009091,recruited,1
ACC_0009098,cashout_agent,1
ACC_0009156,cashout_agent,1
ACC_0009166,cashout_agent,1
ACC_0009235,cashout_agent,1
ACC_0009238,layering_hub,1
ACC_0009287,layering_hub,1
ACC_0009299,compromised,1
ACC_0009305,compromised,1
ACC_0009306,cashout_agent,1
ACC_0009331,cashout_agent,1
ACC_0009356,layering_hub,1
ACC_0009430,compromised,1
ACC_0009441,compromised,1
ACC_0009502,layering_hub,1
ACC_0009507,recruited,1
ACC_0009521,compromised,1
ACC_0009588,compromised,1
ACC_0009636,compromised,1
ACC_0009642,recruited,1
ACC_0009645,recruited,1
ACC_0009683,recruited,1
ACC_0009691,cashout_agent,1
ACC_0009713,cashout_agent,1
ACC_0009764,recruited,1
ACC_0009783,recruited,1
ACC_0009808,recruited,1
ACC_0009825,cashout_agent,1
ACC_0009835,recruited,1
ACC_0009881,layering_hub,1
ACC_0009888,cashout_agent,1
ACC_0009969,cashout_agent,1
ACC_0010025,compromised,1
ACC_0010046,cashout_agent,1
ACC_0010064,recruited,1
ACC_0010159,recruited,1
ACC_0010167,recruited,1
ACC_0010197,cashout_agent,1
ACC_0010203,recruited,1
ACC_0010213,compromised,1
ACC_0010215,layering_hub,1
ACC_0010230,recruited,1
ACC_0010272,recruited,1
ACC_0010298,recruited,1
ACC_0010309,cashout_agent,1
ACC_0010359,recruited,1
ACC_0010385,layering_hub,1
ACC_0010434,layering_hub,1
ACC_0010441,cashout_agent,1
ACC_0010477,cashout_agent,1
ACC_0010599,layering_hub,1
ACC_0010621,compromised,1
ACC_0010684,layering_hub,1
ACC_0010699,layering_hub,1
ACC_0010749,cashout_agent,1
ACC_0010768,layering_hub,1
ACC_0010780,layering_hub,1
ACC_0010803,recruited,1
ACC_0010820,cashout_agent,1
ACC_0010838,layering_hub,1
ACC_0010907,cashout_agent,1
ACC_0010918,layering_hub,1
ACC_0010938,recruited,1
ACC_0010975,recruited,1
ACC_0010986,cashout_agent,1
ACC_0011116,cashout_agent,1
ACC_0011135,cashout_agent,1
ACC_0011144,layering_hub,1
ACC_0011154,cashout_agent,1
ACC_0011189,compromised,1
ACC_0011197,compromised,1
ACC_0011219,recruited,1
ACC_0011324,recruited,1
ACC_0011357,cashout_agent,1
ACC_0011360,recruited,1
ACC_0011416,compromised,1
ACC_0011438,compromised,1
ACC_0011457,recruited,1
ACC_0011502,cashout_agent,1
ACC_0011560,recruited,1
ACC_0011596,cashout_agent,1
ACC_0011676,recruited,1
ACC_0011682,cashout_agent,1
ACC_0011684,compromised,1
ACC_0011693,recruited,1
ACC_0011740,compromised,1
ACC_0011747,cashout_agent,1
ACC_0011748,recruited,1
ACC_0011757,layering_hub,1
ACC_0011760,recruited,1
ACC_0011790,compromised,1
ACC_0011825,recruited,1
ACC_0011863,recruited,1
ACC_0011924,compromised,1
ACC_0011961,recruited,1
ACC_0011978,cashout_agent,1
ACC_0012073,recruited,1
ACC_0012079,compromised,1
ACC_0012099,cashout_agent,1
ACC_0012117,compromised,1
ACC_0012122,recruited,1
ACC_0012157,recruited,1
ACC_0012186,layering_hub,1
ACC_0012240,layering_hub,1
ACC_0012268,recruited,1
ACC_0012272,layering_hub,1
ACC_0012321,layering_hub,1
ACC_0012334,cashout_agent,1
ACC_0012357,layering_hub,1
ACC_0012381,cashout_agent,1
ACC_0012403,cashout_agent,1
ACC_0012452,cashout_agent,1
ACC_0012480,compromised,1
ACC_0012541,compromised,1
ACC_0012547,recruited,1
ACC_0012582,layering_hub,1
ACC_0012592,cashout_agent,1
ACC_0012603,compromised,1
ACC_0012634,layering_hub,1
ACC_0012640,recruited,1
ACC_0012651,cashout_agent,1
ACC_0012679,cashout_agent,1
ACC_0012758,recruited,1
ACC_0012762,recruited,1
ACC_0012781,compromised,1
ACC_0012837,layering_hub,1
ACC_0012857,layering_hub,1
ACC_0012883,layering_hub,1
ACC_0012898,recruited,1
ACC_0012911,recruited,1
ACC_0012914,recruited,1
ACC_0012961,layering_hub,1
ACC_0012992,cashout_agent,1
ACC_0013023,cashout_agent,1
ACC_0013055,layering_hub,1
ACC_0013057,cashout_agent,1
ACC_0013069,compromised,1
ACC_0013100,compromised,1
ACC_0013127,recruited,1
ACC_0013147,compromised,1
ACC_0013272,recruited,1
ACC_0013310,compromised,1
ACC_0013316,layering_hub,1
ACC_0013341,cashout_agent,1
ACC_0013345,cashout_agent,1
ACC_0013347,layering_hub,1
ACC_0013375,recruited,1
ACC_0013382,recruited,1
ACC_0013387,cashout_agent,1
ACC_0013400,cashout_agent,1
ACC_0013406,cashout_agent,1
ACC_0013419,compromised,1
ACC_0013476,layering_hub,1
ACC_0013490,layering_hub,1
ACC_0013514,compromised,1
ACC_0013523,compromised,1
ACC_0013524,layering_hub,1
ACC_0013533,compromised,1
ACC_0013537,cashout_agent,1
ACC_0013614,recruited,1
ACC_0013636,layering_hub,1
ACC_0013646,layering_hub,1
ACC_0013684,compromised,1
ACC_0013692,recruited,1
ACC_0013728,recruited,1
ACC_0013746,recruited,1
ACC_0013760,layering_hub,1
ACC_0013793,compromised,1
ACC_0013845,cashout_agent,1
ACC_0013899,layering_hub,1
ACC_0013901,layering_hub,1
ACC_0013942,layering_hub,1
ACC_0013948,recruited,1
ACC_0013988,recruited,1
ACC_0014007,recruited,1
ACC_0014021,recruited,1
ACC_0014073,cashout_agent,1
ACC_0014089,compromised,1
ACC_0014095,recruited,1
ACC_0014216,cashout_agent,1
ACC_0014220,cashout_agent,1
ACC_0014251,cashout_agent,1
ACC_0014260,compromised,1
ACC_0014319,compromised,1
ACC_0014351,cashout_agent,1
ACC_0014405,cashout_agent,1
ACC_0014420,recruited,1
ACC_0014527,layering_hub,1
ACC_0014585,recruited,1
ACC_0014596,cashout_agent,1
ACC_0014597,layering_hub,1
ACC_0014619,recruited,1
ACC_0014622,recruited,1
ACC_0014642,layering_hub,1
ACC_0014667,cashout_agent,1
ACC_0014677,recruited,1
ACC_0014756,recruited,1
ACC_0014815,compromised,1
ACC_0014823,compromised,1
ACC_0014841,layering_hub,1
ACC_0014883,layering_hub,1
ACC_0014905,recruited,1
ACC_0014991,cashout_agent,1
ACC_0015080,compromised,1
ACC_0015091,recruited,1
ACC_0015097,layering_hub,1
ACC_0015173,layering_hub,1
ACC_0015175,recruited,1
ACC_0015234,recruited,1
ACC_0015271,recruited,1
ACC_0015272,compromised,1
ACC_0015301,compromised,1
ACC_0015305,compromised,1
ACC_0015351,cashout_agent,1
ACC_0015366,cashout_agent,1
ACC_0015400,cashout_agent,1
ACC_0015427,layering_hub,1
ACC_0015481,recruited,1
ACC_0015520,compromised,1
ACC_0015524,recruited,1
ACC_0015534,recruited,1
ACC_0015573,layering_hub,1
ACC_0015651,recruited,1
ACC_0015705,layering_hub,1
ACC_0015715,layering_hub,1
ACC_0015728,compromised,1
ACC_0015742,cashout_agent,1
ACC_0015796,compromised,1
ACC_0015811,compromised,1
ACC_0015851,recruited,1
ACC_0015892,cashout_agent,1
ACC_0015917,compromised,1
ACC_0015933,cashout_agent,1
ACC_0015968,compromised,1
ACC_0016027,recruited,1
ACC_0016031,layering_hub,1
ACC_0016040,cashout_agent,1
ACC_0016057,recruited,1
ACC_0016086,layering_hub,1
ACC_0016115,layering_hub,1
ACC_0016116,recruited,1
ACC_0016207,recruited,1
ACC_0016211,cashout_agent,1
ACC_0016225,compromised,1
ACC_0016232,compromised,1
ACC_0016280,cashout_agent,1
ACC_0016300,compromised,1
ACC_0016365,compromised,1
ACC_0016370,cashout_agent,1
ACC_0016382,layering_hub,1
ACC_0016412,compromised,1
ACC_0016448,compromised,1
ACC_0016471,cashout_agent,1
ACC_0016476,compromised,1
ACC_0016500,cashout_agent,1
ACC_0016505,layering_hub,1
ACC_0016507,compromised,1
ACC_0016519,layering_hub,1
ACC_0016550,compromised,1
ACC_0016641,recruited,1
ACC_0016684,compromised,1
ACC_0016687,recruited,1
ACC_0016725,compromised,1
ACC_0016744,cashout_agent,1
ACC_0016749,cashout_agent,1
ACC_0016827,layering_hub,1
ACC_0016882,cashout_agent,1
ACC_0016885,compromised,1
ACC_0016930,cashout_agent,1
ACC_0016947,cashout_agent,1
ACC_0017047,layering_hub,1
ACC_0017060,cashout_agent,1
ACC_0017123,compromised,1
ACC_0017243,compromised,1
ACC_0017318,compromised,1
ACC_0017319,recruited,1
ACC_0017329,cashout_agent,1
ACC_0017416,layering_hub,1
ACC_0017441,layering_hub,1
ACC_0017450,recruited,1
ACC_0017472,compromised,1
ACC_0017474,recruited,1
ACC_0017477,recruited,1
ACC_0017502,recruited,1
ACC_0017636,cashout_agent,1
ACC_0017661,layering_hub,1
ACC_0017690,recruited,1
ACC_0017696,compromised,1
ACC_0017714,recruited,1
ACC_0017716,compromised,1
ACC_0017748,layering_hub,1
ACC_0017751,layering_hub,1
ACC_0017763,layering_hub,1
ACC_0017804,cashout_agent,1
ACC_0017836,layering_hub,1
ACC_0017837,compromised,1
ACC_0017856,cashout_agent,1
ACC_0017884,compromised,1
ACC_0017899,layering_hub,1
ACC_0017902,layering_hub,1
ACC_0017917,recruited,1
ACC_0017940,compromised,1
ACC_0017947,cashout_agent,1
ACC_0017961,layering_hub,1
ACC_0018026,recruited,1
ACC_0018097,layering_hub,1
ACC_0018116,compromised,1
ACC_0018128,recruited,1
ACC_0018160,compromised,1
ACC_0018175,layering_hub,1
ACC_0018177,cashout_agent,1
ACC_0018193,layering_hub,1
ACC_0018195,layering_hub,1
ACC_0018205,cashout_agent,1
ACC_0018250,cashout_agent,1
ACC_0018264,compromised,1
ACC_0018291,cashout_agent,1
ACC_0018307,layering_hub,1
ACC_0018340,cashout_agent,1
ACC_0018399,layering_hub,1
ACC_0018417,recruited,1
ACC_0018419,cashout_agent,1
ACC_0018453,compromised,1
ACC_0018467,layering_hub,1
ACC_0018471,recruited,1
ACC_0018483,cashout_agent,1
ACC_0018613,compromised,1
ACC_0018644,recruited,1
ACC_0018653,recruited,1
ACC_0018726,compromised,1
ACC_0018747,compromised,1
ACC_0018758,layering_hub,1
ACC_0018795,compromised,1
ACC_0018798,compromised,1
ACC_0018804,cashout_agent,1
ACC_0018866,cashout_agent,1
ACC_0018905,recruited,1
ACC_0018909,layering_hub,1
ACC_0018969,layering_hub,1
ACC_0018989,recruited,1
ACC_0019032,cashout_agent,1
ACC_0019039,cashout_agent,1
ACC_0019048,cashout_agent,1
ACC_0019071,cashout_agent,1
ACC_0019077,compromised,1
ACC_0019084,layering_hub,1
ACC_0019127,layering_hub,1
ACC_0019128,compromised,1
ACC_0019176,cashout_agent,1
ACC_0019182,compromised,1
ACC_0019203,compromised,1
ACC_0019282,cashout_agent,1
ACC_0019300,recruited,1
ACC_0019346,layering_hub,1
ACC_0019374,cashout_agent,1
ACC_0019470,cashout_agent,1
ACC_0019539,recruited,1
ACC_0019550,compromised,1
ACC_0019616,compromised,1
ACC_0019671,cashout_agent,1
ACC_0019716,recruited,1
ACC_0019770,compromised,1
ACC_0019777,layering_hub,1
ACC_0019822,recruited,1
ACC_0019987,recruited,1
ACC_0019989,recruited,1
ACC_0019991,compromised,1
ACC_0020018,recruited,1
ACC_0020028,layering_hub,1
ACC_0020035,compromised,1
ACC_0020138,layering_hub,1
ACC_0020185,recruited,1
ACC_0020190,cashout_agent,1
ACC_0020262,cashout_agent,1
ACC_0020266,compromised,1
ACC_0020326,cashout_agent,1
ACC_0020330,compromised,1
ACC_0020347,cashout_agent,1
ACC_0020379,cashout_agent,1
ACC_0020390,cashout_agent,1
ACC_0020462,layering_hub,1
ACC_0020574,cashout_agent,1
ACC_0020597,cashout_agent,1
ACC_0020615,compromised,1
ACC_0020640,compromised,1
ACC_0020650,layering_hub,1
ACC_0020805,compromised,1
ACC_0020815,layering_hub,1
ACC_0020840,layering_hub,1
ACC_0020844,compromised,1
ACC_0020871,recruited,1
ACC_0020884,recruited,1
ACC_0020932,layering_hub,1
ACC_0020962,cashout_agent,1
ACC_0020985,compromised,1
ACC_0020999,layering_hub,1
ACC_0021044,compromised,1
ACC_0021057,compromised,1
ACC_0021110,recruited,1
ACC_0021119,layering_hub,1
ACC_0021158,recruited,1
ACC_0021169,cashout_agent,1
ACC_0021180,layering_hub,1
ACC_0021211,cashout_agent,1
ACC_0021228,cashout_agent,1
ACC_0021339,layering_hub,1
ACC_0021341,compromised,1
ACC_0021346,recruited,1
ACC_0021353,recruited,1
ACC_0021503,recruited,1
ACC_0021526,recruited,1
ACC_0021572,layering_hub,1
ACC_0021589,compromised,1
ACC_0021621,cashout_agent,1
ACC_0021651,recruited,1
ACC_0021681,cashout_agent,1
ACC_0021702,compromised,1
ACC_0021762,recruited,1
ACC_0021765,layering_hub,1
ACC_0021801,cashout_agent,1
ACC_0021815,compromised,1
ACC_0021826,recruited,1
ACC_0021844,compromised,1
ACC_0021846,recruited,1
ACC_0021873,compromised,1
ACC_0021902,compromised,1
ACC_0021908,layering_hub,1
ACC_0021920,recruited,1
ACC_0021942,compromised,1
ACC_0021989,recruited,1
ACC_0022028,layering_hub,1
ACC_0022080,cashout_agent,1
ACC_0022086,compromised,1
ACC_0022106,compromised,1
ACC_0022114,layering_hub,1
ACC_0022166,recruited,1
ACC_0022169,recruited,1
ACC_0022215,layering_hub,1
ACC_0022274,cashout_agent,1
ACC_0022367,recruited,1
ACC_0022370,recruited,1
ACC_0022389,recruited,1
ACC_0022414,layering_hub,1
ACC_0022422,recruited,1
ACC_0022462,compromised,1
ACC_0022469,layering_hub,1
ACC_0022578,recruited,1
ACC_0022582,cashout_agent,1
ACC_0022599,compromised,1
ACC_0022626,recruited,1
ACC_0022641,compromised,1
ACC_0022751,compromised,1
ACC_0022781,recruited,1
ACC_0022788,cashout_agent,1
ACC_0022840,layering_hub,1
ACC_0022852,cashout_agent,1
ACC_0022872,cashout_agent,1
ACC_0022962,cashout_agent,1
ACC_0022976,compromised,1
ACC_0023001,layering_hub,1
ACC_0023088,compromised,1
ACC_0023121,cashout_agent,1
ACC_0023144,compromised,1
ACC_0023172,layering_hub,1
ACC_0023187,recruited,1
ACC_0023200,cashout_agent,1
ACC_0023206,cashout_agent,1
ACC_0023221,compromised,1
ACC_0023269,recruited,1
ACC_0023272,compromised,1
ACC_0023275,cashout_agent,1
ACC_0023309,cashout_agent,1
ACC_0023320,recruited,1
ACC_0023337,compromised,1
ACC_0023445,recruited,1
ACC_0023543,compromised,1
ACC_0023562,compromised,1
ACC_0023603,compromised,1
ACC_0023618,cashout_agent,1
ACC_0023627,cashout_agent,1
ACC_0023686,recruited,1
ACC_0023705,compromised,1
ACC_0023717,layering_hub,1
ACC_0023774,compromised,1
ACC_0023800,recruited,1
ACC_0023843,cashout_agent,1
ACC_0023866,recruited,1
ACC_0023888,layering_hub,1
ACC_0023934,recruited,1
ACC_0023936,layering_hub,1
ACC_0023942,recruited,1
ACC_0024059,compromised,1
ACC_0024091,recruited,1
ACC_0024129,layering_hub,1
ACC_0024191,compromised,1
ACC_0024238,compromised,1
ACC_0024251,recruited,1
ACC_0024253,recruited,1
ACC_0024281,layering_hub,1
ACC_0024289,layering_hub,1
ACC_0024398,layering_hub,1
ACC_0024429,layering_hub,1
ACC_0024462,layering_hub,1
ACC_0024507,compromised,1
ACC_0024546,cashout_agent,1
ACC_0024561,cashout_agent,1
ACC_0024605,cashout_agent,1
ACC_0024635,compromised,1
ACC_0024649,compromised,1
ACC_0024742,cashout_agent,1
ACC_0024758,compromised,1
ACC_0024820,cashout_agent,1
ACC_0024887,cashout_agent,1
ACC_0024898,layering_hub,1
ACC_0025008,compromised,1
ACC_0025033,layering_hub,1
ACC_0025050,compromised,1
ACC_0025057,recruited,1
ACC_0025063,recruited,1
ACC_0025085,recruited,1
ACC_0025093,recruited,1
ACC_0025114,recruited,1
ACC_0025157,recruited,1
ACC_0025167,compromised,1
ACC_0025194,layering_hub,1
ACC_0025241,recruited,1
ACC_0025279,compromised,1
ACC_0025288,layering_hub,1
ACC_0025361,layering_hub,1
ACC_0025363,cashout_agent,1
ACC_0025379,layering_hub,1
ACC_0025423,compromised,1
ACC_0025435,compromised,1
ACC_0025454,layering_hub,1
ACC_0025481,recruited,1
ACC_0025514,recruited,1
ACC_0025522,recruited,1
ACC_0025526,layering_hub,1
ACC_0025531,cashout_agent,1
ACC_0025532,layering_hub,1
ACC_0025570,recruited,1
ACC_0025605,cashout_agent,1
ACC_0025631,layering_hub,1
ACC_0025693,recruited,1
ACC_0025733,cashout_agent,1
ACC_0025785,compromised,1
ACC_0025786,compromised,1
ACC_0025853,cashout_agent,1
ACC_0025865,recruited,1
ACC_0025871,layering_hub,1
ACC_0025898,layering_hub,1
ACC_0025908,layering_hub,1
ACC_0026007,layering_hub,1
ACC_0026043,recruited,1
ACC_0026061,layering_hub,1
ACC_0026062,cashout_agent,1
ACC_0026071,cashout_agent,1
ACC_0026073,compromised,1
ACC_0026079,compromised,1
ACC_0026089,layering_hub,1
ACC_0026103,cashout_agent,1
ACC_0026113,recruited,1
ACC_0026152,recruited,1
ACC_0026170,recruited,1
ACC_0026203,compromised,1
ACC_0026244,recruited,1
ACC_0026248,layering_hub,1
ACC_0026263,compromised,1
ACC_0026402,cashout_agent,1
ACC_0026411,cashout_agent,1
ACC_0026417,compromised,1
ACC_0026418,cashout_agent,1
ACC_0026446,compromised,1
ACC_0026511,layering_hub,1
