case_id,account_id,atm_id,timestamp_min,amount_inr,withdrawal_type
CASE_000375,ACC_0087223,ATM_000216,110134,31543.96,CASHOUT
CASE_000378,ACC_0076789,ATM_003544,139037,14055.01,CASHOUT
CASE_000380,ACC_0099870,ATM_006759,87874,8720.44,CASHOUT
CASE_000382,ACC_0067500,ATM_004812,132250,33073.05,AVERTED_CASHOUT
CASE_000383,ACC_0004300,ATM_006411,188309,22940.77,AVERTED_CASHOUT
CASE_000384,ACC_0022114,ATM_000377,151708,5239.89,CASHOUT
CASE_000385,ACC_0030641,ATM_005772,211106,71894.19,CASHOUT
CASE_000386,ACC_0011676,ATM_001934,203796,10557.46,CROSS_STATE_CASHOUT
CASE_000388,ACC_0015301,ATM_005277,217535,20323.64,CASHOUT
CASE_000392,ACC_0068284,ATM_003342,40430,95276.99,CASHOUT
CASE_000394,ACC_0001957,ATM_004322,55782,161602.15,CASHOUT
CASE_000397,ACC_0009521,ATM_002212,130397,36636.68,CROSS_STATE_CASHOUT
CASE_000398,ACC_0020650,ATM_004855,179598,167477.7,CROSS_STATE_CASHOUT
CASE_000399,ACC_0041666,ATM_004300,195775,6420.41,CASHOUT
CASE_000401,ACC_0083221,ATM_006064,161233,362759.86,AVERTED_CASHOUT
CASE_000405,ACC_0051769,ATM_004785,131585,15812.61,AVERTED_CASHOUT
CASE_000406,ACC_0090410,ATM_001641,225610,31752.12,CASHOUT
CASE_000409,ACC_0025514,ATM_004144,133785,81886.68,CASHOUT
CASE_000410,ACC_0012541,ATM_005980,154952,31509.95,CASHOUT
CASE_000411,ACC_0050315,ATM_000880,15401,72515.55,AVERTED_CASHOUT
CASE_000413,ACC_0094663,ATM_005960,108184,44310.39,CASHOUT
CASE_000415,ACC_0009881,ATM_003175,167832,68123.69,AVERTED_CASHOUT
CASE_000416,ACC_0054143,ATM_004601,212241,135388.04,AVERTED_CASHOUT
CASE_000417,ACC_0099034,ATM_005911,189395,8345.89,CASHOUT
CASE_000419,ACC_0032440,ATM_005199,247485,3455.6,CROSS_STATE_CASHOUT
CASE_000420,ACC_0088342,ATM_000678,69630,92615.3,CASHOUT
CASE_000423,ACC_0046158,ATM_006544,11369,85864.83,CASHOUT
CASE_000424,ACC_0070694,ATM_000439,80072,78715.74,AVERTED_CASHOUT
CASE_000425,ACC_0046989,ATM_000761,46745,8828.95,CASHOUT
CASE_000426,ACC_0011357,ATM_004153,160096,6034.23,AVERTED_CASHOUT
CASE_000427,ACC_0052494,ATM_006367,7514,6287.3,AVERTED_CASHOUT
CASE_000428,ACC_0066636,ATM_006840,174150,2395.15,AVERTED_CASHOUT
CASE_000429,ACC_0068861,ATM_002568,89274,40601.64,CROSS_STATE_CASHOUT
CASE_000430,ACC_0018195,ATM_002816,219816,558399.89,CASHOUT
CASE_000435,ACC_0027898,ATM_001324,228607,118712.2,CASHOUT
CASE_000436,ACC_0077235,ATM_006956,139845,259984.37,CASHOUT
CASE_000437,ACC_0062753,ATM_004119,131713,319085.99,AVERTED_CASHOUT
CASE_000438,ACC_0001134,ATM_004967,94796,12048.82,CASHOUT
CASE_000440,ACC_0083729,ATM_002187,115966,43180.38,AVERTED_CASHOUT
CASE_000443,ACC_0096845,ATM_003023,188923,18261.99,CASHOUT
CASE_000448,ACC_0086397,ATM_001438,230766,182460.1,CASHOUT
CASE_000449,ACC_0039507,ATM_001452,54145,198877.99,CASHOUT
CASE_000450,ACC_0068783,ATM_002512,187381,51913.41,CASHOUT
CASE_000451,ACC_0072155,ATM_000767,206851,57031.57,CASHOUT
CASE_000453,ACC_0076891,ATM_006723,99299,50944.87,CASHOUT
CASE_000454,ACC_0053512,ATM_001192,69773,7773.74,CROSS_STATE_CASHOUT
CASE_000455,ACC_0042038,ATM_003028,191206,32757.02,CASHOUT
CASE_000457,ACC_0036678,ATM_000139,207965,49823.86,AVERTED_CASHOUT
CASE_000459,ACC_0071390,ATM_006375,256001,122618.59,AVERTED_CASHOUT
CASE_000461,ACC_0075529,ATM_006346,78548,54539.57,CASHOUT
CASE_000462,ACC_0091367,ATM_000902,224405,42683.43,CASHOUT
CASE_000463,ACC_0072154,ATM_000203,224309,103379.39,CASHOUT
CASE_000464,ACC_0027135,ATM_001324,46356,41930.74,AVERTED_CASHOUT
CASE_000466,ACC_0061061,ATM_002096,138830,27004.53,CASHOUT
CASE_000467,ACC_0092689,ATM_001185,84758,294681.44,CROSS_STATE_CASHOUT
CASE_000470,ACC_0011863,ATM_006158,113083,65891.16,CROSS_STATE_CASHOUT
CASE_000471,ACC_0008135,ATM_001877,135716,52388.64,CASHOUT
CASE_000473,ACC_0077998,ATM_006372,229441,14437.91,CROSS_STATE_CASHOUT
CASE_000474,ACC_0071091,ATM_006890,8014,5289.28,CASHOUT
CASE_000476,ACC_0083250,ATM_003362,139359,66511.79,CASHOUT
CASE_000477,ACC_0007331,ATM_005958,35351,33580.86,AVERTED_CASHOUT
CASE_000478,ACC_0027004,ATM_002022,156742,168004.07,CASHOUT
CASE_000480,ACC_0034009,ATM_004349,75817,46458.35,AVERTED_CASHOUT
CASE_000482,ACC_0042112,ATM_003355,80960,182495.17,AVERTED_CASHOUT
CASE_000483,ACC_0007034,ATM_005671,258873,16821.17,CASHOUT
CASE_000489,ACC_0067569,ATM_000308,84055,92151.75,CASHOUT
CASE_000493,ACC_0057732,ATM_005441,69888,276592.33,CASHOUT
CASE_000495,ACC_0089864,ATM_005472,239253,16413.07,CASHOUT
CASE_000496,ACC_0001273,ATM_003218,75498,31354.95,CROSS_STATE_CASHOUT
CASE_000497,ACC_0060265,ATM_003339,68810,25219.21,CASHOUT
CASE_000498,ACC_0032290,ATM_002987,98972,21061.68,CROSS_STATE_CASHOUT
CASE_000499,ACC_0051982,ATM_003447,164511,10572.02,CROSS_STATE_CASHOUT
CASE_000500,ACC_0018467,ATM_002429,232072,11678.36,CASHOUT
CASE_000502,ACC_0005316,ATM_000393,31309,7912.05,CASHOUT
CASE_000505,ACC_0043611,ATM_002902,68128,41251.58,CASHOUT
CASE_000509,ACC_0014251,ATM_004210,102868,39850.62,CASHOUT
CASE_000513,ACC_0055928,ATM_000779,230174,5569.39,CASHOUT
CASE_000514,ACC_0061741,ATM_006199,169079,156860.72,CASHOUT
CASE_000515,ACC_0049534,ATM_002686,156663,173280.39,CROSS_STATE_CASHOUT
CASE_000518,ACC_0061741,ATM_004769,150012,30815.78,CROSS_STATE_CASHOUT
CASE_000519,ACC_0013375,ATM_002161,541,19991.49,CASHOUT
CASE_000520,ACC_0098387,ATM_006360,45118,35104.22,CASHOUT
CASE_000521,ACC_0088091,ATM_001884,48730,11160.96,AVERTED_CASHOUT
CASE_000522,ACC_0091836,ATM_006092,54108,41384.85,CROSS_STATE_CASHOUT
CASE_000524,ACC_0078662,ATM_005712,33402,11173.95,CROSS_STATE_CASHOUT
CASE_000527,ACC_0036487,ATM_001156,136060,30335.39,CASHOUT
CASE_000529,ACC_0080519,ATM_006472,180119,7620.75,CASHOUT
CASE_000531,ACC_0087897,ATM_003055,72951,50478.33,AVERTED_CASHOUT
CASE_000534,ACC_0064014,ATM_003326,11644,62285.89,CASHOUT
CASE_000535,ACC_0000901,ATM_006290,216735,27932.49,CASHOUT
CASE_000536,ACC_0085848,ATM_001453,138729,100023.18,AVERTED_CASHOUT
CASE_000539,ACC_0047713,ATM_006555,5928,31777.03,AVERTED_CASHOUT
CASE_000540,ACC_0098787,ATM_004356,118222,42385.33,CASHOUT
CASE_000543,ACC_0066879,ATM_001496,37310,162231.89,CASHOUT
CASE_000544,ACC_0043979,ATM_002454,245049,49004.07,CASHOUT
CASE_000547,ACC_0043479,ATM_005903,44636,35509.15,AVERTED_CASHOUT
CASE_000548,ACC_0001776,ATM_000817,168891,23951.52,AVERTED_CASHOUT
CASE_000550,ACC_0018399,ATM_005734,89137,117665.83,CASHOUT
CASE_000551,ACC_0093278,ATM_002399,206418,236392.2,AVERTED_CASHOUT
CASE_000552,ACC_0029788,ATM_001313,78868,237908.47,CASHOUT
CASE_000555,ACC_0044616,ATM_000507,165192,29872.78,CASHOUT
CASE_000557,ACC_0072867,ATM_001647,78890,13051.62,CASHOUT
CASE_000559,ACC_0085791,ATM_006060,229064,51349.1,AVERTED_CASHOUT
CASE_000562,ACC_0097970,ATM_003964,212754,13224.39,AVERTED_CASHOUT
CASE_000564,ACC_0035071,ATM_000734,70735,51925.8,CASHOUT
CASE_000565,ACC_0038517,ATM_002529,193103,27179.31,CROSS_STATE_CASHOUT
CASE_000566,ACC_0001859,ATM_005232,102013,2958.42,CASHOUT
CASE_000568,ACC_0008540,ATM_004527,156287,9622.41,CASHOUT
CASE_000571,ACC_0047861,ATM_003595,24178,40915.11,CROSS_STATE_CASHOUT
CASE_000572,ACC_0020962,ATM_005533,154190,13966.0,CASHOUT
CASE_000577,ACC_0009082,ATM_004038,241678,22888.16,AVERTED_CASHOUT
CASE_000578,ACC_0050200,ATM_006068,229158,28995.72,CASHOUT
CASE_000580,ACC_0020962,ATM_006219,335,13918.49,CASHOUT
CASE_000581,ACC_0049801,ATM_005994,194461,108492.73,CROSS_STATE_CASHOUT
CASE_000582,ACC_0000274,ATM_003508,109676,38510.59,CASHOUT
CASE_000583,ACC_0035273,ATM_005968,59196,7578.03,AVERTED_CASHOUT
CASE_000587,ACC_0095688,ATM_005564,138189,109953.97,CASHOUT
CASE_000588,ACC_0075806,ATM_006943,212004,1112.62,CASHOUT
CASE_000595,ACC_0023200,ATM_001774,132148,11945.43,CROSS_STATE_CASHOUT
CASE_000596,ACC_0046334,ATM_000522,107147,13474.36,CASHOUT
CASE_000598,ACC_0053212,ATM_006559,167975,143231.54,AVERTED_CASHOUT
CASE_000599,ACC_0012911,ATM_004109,214549,18614.17,AVERTED_CASHOUT
CASE_000601,ACC_0057972,ATM_002850,187088,83750.89,AVERTED_CASHOUT
CASE_000603,ACC_0023206,ATM_005068,204250,43306.61,CASHOUT
CASE_000609,ACC_0000203,ATM_000190,95338,67330.84,CASHOUT
CASE_000610,ACC_0086326,ATM_004294,32151,11495.03,CROSS_STATE_CASHOUT
CASE_000614,ACC_0029560,ATM_003355,179414,2503.26,AVERTED_CASHOUT
CASE_000615,ACC_0043906,ATM_006499,185890,67541.61,CROSS_STATE_CASHOUT
CASE_000618,ACC_0022028,ATM_003770,209936,74091.67,CASHOUT
CASE_000623,ACC_0035872,ATM_004938,171058,24287.41,CASHOUT
CASE_000624,ACC_0030579,ATM_004551,14327,10119.22,AVERTED_CASHOUT
CASE_000625,ACC_0016930,ATM_006182,92491,20576.53,CASHOUT
CASE_000627,ACC_0058224,ATM_004161,254723,1723.8,CASHOUT
CASE_000628,ACC_0040200,ATM_004472,53173,34918.25,AVERTED_CASHOUT
CASE_000629,ACC_0028327,ATM_001670,18679,1573.79,CASHOUT
CASE_000630,ACC_0079131,ATM_006215,251899,84363.81,AVERTED_CASHOUT
CASE_000631,ACC_0040284,ATM_005847,19547,9972.25,CASHOUT
CASE_000632,ACC_0051013,ATM_004515,136708,12280.79,CASHOUT
CASE_000637,ACC_0092541,ATM_002047,89290,107060.62,CROSS_STATE_CASHOUT
CASE_000638,ACC_0031285,ATM_003964,199847,8820.18,CROSS_STATE_CASHOUT
CASE_000639,ACC_0072424,ATM_005994,129588,32534.58,CASHOUT
CASE_000640,ACC_0097544,ATM_005056,106506,39297.91,CROSS_STATE_CASHOUT
CASE_000642,ACC_0053658,ATM_006002,203677,88031.86,CASHOUT
CASE_000644,ACC_0015917,ATM_000163,231930,22807.45,CASHOUT
CASE_000645,ACC_0065417,ATM_003306,160905,19658.01,CASHOUT
CASE_000646,ACC_0099314,ATM_002206,61271,37277.73,CASHOUT
CASE_000648,ACC_0008610,ATM_001733,173574,73212.32,CASHOUT
CASE_000650,ACC_0023603,ATM_006448,47631,26834.24,CASHOUT
CASE_000651,ACC_0066520,ATM_006770,129034,2482.23,CASHOUT
CASE_000653,ACC_0056754,ATM_004901,193360,103327.32,CROSS_STATE_CASHOUT
CASE_000655,ACC_0042839,ATM_000835,32721,33536.03,CASHOUT
CASE_000657,ACC_0050820,ATM_006316,247951,436237.75,CROSS_STATE_CASHOUT
CASE_000658,ACC_0052876,ATM_000109,43649,249980.06,CROSS_STATE_CASHOUT
CASE_000659,ACC_0033939,ATM_000256,182203,200118.77,CASHOUT
CASE_000660,ACC_0084998,ATM_006866,220139,63251.0,CASHOUT
CASE_000665,ACC_0092847,ATM_002329,247994,107727.12,CASHOUT
CASE_000666,ACC_0061732,ATM_001715,159112,110386.23,AVERTED_CASHOUT
CASE_000671,ACC_0068161,ATM_006047,211550,132072.58,CASHOUT
CASE_000672,ACC_0095817,ATM_002241,171597,44861.61,CROSS_STATE_CASHOUT
CASE_000674,ACC_0039832,ATM_002388,111810,75590.68,AVERTED_CASHOUT
CASE_000675,ACC_0038272,ATM_001617,42261,112885.77,CASHOUT
CASE_000676,ACC_0008447,ATM_003109,211536,107387.45,CROSS_STATE_CASHOUT
