case_id,strategy,crime_type,origin_city,origin_state,reported_amount_inr,start_timestamp_min,adaptive_event
CASE_000055,DIRECT_CASHOUT,REMOTE_ACCESS,Mumbai,Maharashtra,181110.01,128525,0
CASE_000056,MULTI_HOP,JOB_FRAUD,Mumbai,Maharashtra,18330.41,198735,0
CASE_000057,DIGITAL_ASSET,INVESTMENT_FRAUD,Ahmedabad,Gujarat,208388.74,31873,0
CASE_000058,DIRECT_CASHOUT,UPI_FRAUD,Chennai,Tamil Nadu,102520.54,225466,0
CASE_000059,FAN_IN,PHISHING,Delhi,Delhi,16905.89,125965,0
CASE_000060,DIRECT_CASHOUT,UPI_FRAUD,Mumbai,Maharashtra,3782.7,22414,0
CASE_000061,DIRECT_CASHOUT,DIGITAL_ARREST,Nashik,Maharashtra,61377.53,125333,0
CASE_000062,MULTI_HOP,UPI_FRAUD,Nagpur,Maharashtra,129440.84,128076,0
CASE_000063,MULTI_HOP,PHISHING,Mumbai,Maharashtra,137984.78,219683,0
CASE_000064,DIGITAL_ASSET,ROMANCE_FRAUD,Nagpur,Maharashtra,4698.09,189786,0
CASE_000065,ADAPTIVE,DIGITAL_ARREST,Hyderabad,Telangana,187428.65,236079,1
CASE_000066,DIGITAL_ASSET,UPI_FRAUD,Chennai,Tamil Nadu,96154.56,198029,0
CASE_000067,DIRECT_CASHOUT,REMOTE_ACCESS,Nagpur,Maharashtra,174297.78,47412,0
CASE_000068,CROSS_STATE,JOB_FRAUD,Nashik,Maharashtra,371963.8,217661,0
CASE_000069,MULTI_HOP,ROMANCE_FRAUD,Kolkata,West Bengal,120747.82,9186,0
CASE_000070,DIRECT_CASHOUT,ROMANCE_FRAUD,Delhi,Delhi,21665.76,108612,0
CASE_000071,CROSS_STATE,UPI_FRAUD,Delhi,Delhi,9629.44,49727,0
CASE_000072,MULTI_HOP,INVESTMENT_FRAUD,Bengaluru,Karnataka,27487.98,102650,0
CASE_000073,CROSS_BORDER,DIGITAL_ARREST,Hyderabad,Telangana,66822.63,102452,0
CASE_000074,FAN_OUT,UPI_FRAUD,Delhi,Delhi,72835.68,231688,0
CASE_000075,CROSS_BORDER,REMOTE_ACCESS,Bengaluru,Karnataka,14289.87,105353,0
CASE_000076,CROSS_STATE,DIGITAL_ARREST,Kolkata,West Bengal,28759.14,21462,0
CASE_000077,DIGITAL_ASSET,ROMANCE_FRAUD,Mumbai,Maharashtra,26826.15,74355,0
CASE_000078,MULTI_HOP,REMOTE_ACCESS,Nashik,Maharashtra,31951.14,152055,0
CASE_000079,DIRECT_CASHOUT,DIGITAL_ARREST,Hyderabad,Telangana,19122.69,227084,0
CASE_000080,CROSS_BORDER,UPI_FRAUD,Chennai,Tamil Nadu,59844.2,21537,0
CASE_000081,ADAPTIVE,INVESTMENT_FRAUD,Delhi,Delhi,134757.32,157925,1
CASE_000082,MULTI_HOP,DIGITAL_ARREST,Hyderabad,Telangana,179682.18,149058,0
CASE_000083,MULTI_HOP,UPI_FRAUD,Bengaluru,Karnataka,107423.03,41214,0
CASE_000084,MULTI_HOP,JOB_FRAUD,Hyderabad,Telangana,28339.98,182300,0
CASE_000085,DIGITAL_ASSET,INVESTMENT_FRAUD,Delhi,Delhi,32608.37,59059,0
CASE_000086,FAN_OUT,INVESTMENT_FRAUD,Pune,Maharashtra,18305.28,213988,0
CASE_000087,FAN_IN,INVESTMENT_FRAUD,Ahmedabad,Gujarat,45357.87,108164,0
CASE_000088,FAN_OUT,PHISHING,Nashik,Maharashtra,32811.85,18204,0
CASE_000089,CROSS_STATE,DIGITAL_ARREST,Kolkata,West Bengal,111782.24,130735,0
CASE_000090,DIRECT_CASHOUT,PHISHING,Kolkata,West Bengal,39829.93,205917,0
CASE_000091,MULTI_HOP,ROMANCE_FRAUD,Chennai,Tamil Nadu,361686.83,72854,0
CASE_000092,MULTI_HOP,ROMANCE_FRAUD,Bengaluru,Karnataka,77580.1,114226,0
CASE_000093,CROSS_STATE,JOB_FRAUD,Delhi,Delhi,34921.56,34667,0
CASE_000094,FAN_OUT,INVESTMENT_FRAUD,Nashik,Maharashtra,7982.59,150879,0
CASE_000095,MULTI_HOP,REMOTE_ACCESS,Chennai,Tamil Nadu,39483.33,93529,0
CASE_000096,ADAPTIVE,UPI_FRAUD,Bengaluru,Karnataka,5700.03,106844,1
CASE_000097,FAN_IN,ROMANCE_FRAUD,Kolkata,West Bengal,225348.12,86452,0
CASE_000098,MULTI_HOP,JOB_FRAUD,Nagpur,Maharashtra,10275.69,213805,0
CASE_000099,CROSS_BORDER,DIGITAL_ARREST,Kolkata,West Bengal,17725.99,104001,0
CASE_000100,MULTI_HOP,JOB_FRAUD,Pune,Maharashtra,79467.38,48622,0
CASE_000101,MULTI_HOP,INVESTMENT_FRAUD,Hyderabad,Telangana,6048.34,244493,0
CASE_000102,CROSS_BORDER,REMOTE_ACCESS,Nagpur,Maharashtra,17510.69,113335,0
CASE_000103,DIGITAL_ASSET,ROMANCE_FRAUD,Hyderabad,Telangana,432583.0,165492,0
CASE_000104,CROSS_STATE,JOB_FRAUD,Hyderabad,Telangana,7259.1,225237,0
CASE_000105,FAN_OUT,REMOTE_ACCESS,Nashik,Maharashtra,77795.02,87866,0
CASE_000106,MULTI_HOP,DIGITAL_ARREST,Pune,Maharashtra,528979.32,100542,0
CASE_000107,CROSS_BORDER,INVESTMENT_FRAUD,Nagpur,Maharashtra,33035.91,204196,0
CASE_000108,MULTI_HOP,ROMANCE_FRAUD,Hyderabad,Telangana,53084.03,67770,0
CASE_000109,DIGITAL_ASSET,ROMANCE_FRAUD,Bengaluru,Karnataka,49506.97,12893,0
CASE_000110,MULTI_HOP,PHISHING,Delhi,Delhi,184695.97,187504,0
CASE_000111,FAN_OUT,JOB_FRAUD,Mumbai,Maharashtra,68002.64,744,0
CASE_000112,MULTI_HOP,JOB_FRAUD,Pune,Maharashtra,20957.21,159392,0
CASE_000113,FAN_OUT,ROMANCE_FRAUD,Delhi,Delhi,17234.64,86827,0
CASE_000114,MULTI_HOP,INVESTMENT_FRAUD,Nashik,Maharashtra,66358.94,1689,0
CASE_000115,CROSS_STATE,DIGITAL_ARREST,Delhi,Delhi,103831.04,196522,0
CASE_000116,FAN_IN,PHISHING,Mumbai,Maharashtra,34328.51,205148,0
CASE_000117,MULTI_HOP,REMOTE_ACCESS,Mumbai,Maharashtra,153415.17,162023,0
CASE_000118,FAN_IN,INVESTMENT_FRAUD,Delhi,Delhi,19521.1,52956,0
CASE_000119,DIRECT_CASHOUT,PHISHING,Hyderabad,Telangana,30170.69,180183,0
CASE_000120,DIGITAL_ASSET,ROMANCE_FRAUD,Pune,Maharashtra,18815.07,2311,0
CASE_000121,CROSS_BORDER,INVESTMENT_FRAUD,Mumbai,Maharashtra,428983.74,53005,0
CASE_000122,MULTI_HOP,UPI_FRAUD,Kolkata,West Bengal,26213.09,187338,0
CASE_000123,DIRECT_CASHOUT,DIGITAL_ARREST,Hyderabad,Telangana,141375.08,130551,0
CASE_000124,FAN_OUT,INVESTMENT_FRAUD,Nashik,Maharashtra,150591.14,99651,0
CASE_000125,MULTI_HOP,REMOTE_ACCESS,Delhi,Delhi,69894.52,192907,0
CASE_000126,FAN_OUT,ROMANCE_FRAUD,Delhi,Delhi,94829.62,189174,0
CASE_000127,FAN_IN,INVESTMENT_FRAUD,Nashik,Maharashtra,37161.9,203464,0
CASE_000128,ADAPTIVE,UPI_FRAUD,Chennai,Tamil Nadu,21756.65,179895,1
CASE_000129,CROSS_STATE,ROMANCE_FRAUD,Bengaluru,Karnataka,117834.41,114645,0
CASE_000130,DIRECT_CASHOUT,INVESTMENT_FRAUD,Delhi,Delhi,166819.44,16545,0
CASE_000131,DIRECT_CASHOUT,JOB_FRAUD,Nagpur,Maharashtra,18883.92,253190,0
CASE_000132,FAN_IN,REMOTE_ACCESS,Hyderabad,Telangana,17996.21,100760,0
CASE_000133,FAN_IN,ROMANCE_FRAUD,Kolkata,West Bengal,5068.44,251486,0
CASE_000134,DIRECT_CASHOUT,PHISHING,Nagpur,Maharashtra,26134.73,96488,0
CASE_000135,DIGITAL_ASSET,JOB_FRAUD,Pune,Maharashtra,50303.22,216460,0
CASE_000136,DIRECT_CASHOUT,REMOTE_ACCESS,Delhi,Delhi,21697.89,210246,0
CASE_000137,CROSS_STATE,PHISHING,Mumbai,Maharashtra,230600.15,237798,0
CASE_000138,DIRECT_CASHOUT,UPI_FRAUD,Nagpur,Maharashtra,32191.4,208280,0
CASE_000139,MULTI_HOP,PHISHING,Delhi,Delhi,48659.14,257089,0
CASE_000140,FAN_IN,PHISHING,Kolkata,West Bengal,15929.89,239825,0
CASE_000141,DIRECT_CASHOUT,ROMANCE_FRAUD,Chennai,Tamil Nadu,64362.03,49003,0
CASE_000142,CROSS_STATE,DIGITAL_ARREST,Mumbai,Maharashtra,210987.15,135588,0
CASE_000143,CROSS_BORDER,DIGITAL_ARREST,Hyderabad,Telangana,50912.86,18883,0
CASE_000144,CROSS_STATE,DIGITAL_ARREST,Bengaluru,Karnataka,74283.76,52191,0
CASE_000145,DIRECT_CASHOUT,REMOTE_ACCESS,Chennai,Tamil Nadu,284254.85,177656,0
CASE_000146,DIRECT_CASHOUT,DIGITAL_ARREST,Bengaluru,Karnataka,8624.17,156897,0
CASE_000147,MULTI_HOP,DIGITAL_ARREST,Nagpur,Maharashtra,36716.39,155298,0
CASE_000148,DIRECT_CASHOUT,REMOTE_ACCESS,Mumbai,Maharashtra,10889.08,154204,0
CASE_000149,CROSS_BORDER,REMOTE_ACCESS,Ahmedabad,Gujarat,50069.19,122154,0
CASE_000150,DIGITAL_ASSET,PHISHING,Delhi,Delhi,94634.13,58765,0
CASE_000151,MULTI_HOP,PHISHING,Mumbai,Maharashtra,44765.41,84585,0
CASE_000152,FAN_OUT,UPI_FRAUD,Ahmedabad,Gujarat,444898.73,122937,0
CASE_000153,DIRECT_CASHOUT,INVESTMENT_FRAUD,Nagpur,Maharashtra,43889.89,21698,0
CASE_000154,CROSS_BORDER,REMOTE_ACCESS,Delhi,Delhi,69955.94,256809,0
CASE_000155,MULTI_HOP,JOB_FRAUD,Mumbai,Maharashtra,18514.61,108543,0
CASE_000156,FAN_IN,JOB_FRAUD,Nashik,Maharashtra,100025.82,75411,0
CASE_000157,ADAPTIVE,PHISHING,Kolkata,West Bengal,20804.47,167101,1
CASE_000158,DIGITAL_ASSET,DIGITAL_ARREST,Ahmedabad,Gujarat,97167.21,121522,0
CASE_000159,CROSS_STATE,JOB_FRAUD,Chennai,Tamil Nadu,37663.26,102665,0
CASE_000160,DIRECT_CASHOUT,ROMANCE_FRAUD,Ahmedabad,Gujarat,35321.0,183365,0
CASE_000161,MULTI_HOP,UPI_FRAUD,Pune,Maharashtra,73463.29,113857,0
CASE_000162,CROSS_STATE,UPI_FRAUD,Ahmedabad,Gujarat,21278.6,158424,0
CASE_000163,MULTI_HOP,INVESTMENT_FRAUD,Nashik,Maharashtra,53063.01,252642,0
CASE_000164,CROSS_BORDER,REMOTE_ACCESS,Pune,Maharashtra,10717.11,247637,0
CASE_000165,FAN_IN,INVESTMENT_FRAUD,Delhi,Delhi,65977.19,8139,0
CASE_000166,FAN_IN,REMOTE_ACCESS,Delhi,Delhi,15846.8,31742,0
CASE_000167,DIGITAL_ASSET,ROMANCE_FRAUD,Ahmedabad,Gujarat,147317.23,136542,0
CASE_000168,FAN_IN,PHISHING,Hyderabad,Telangana,37133.14,215124,0
CASE_000169,DIGITAL_ASSET,DIGITAL_ARREST,Delhi,Delhi,15247.6,120377,0
CASE_000170,ADAPTIVE,JOB_FRAUD,Pune,Maharashtra,47295.37,181530,1
CASE_000171,DIRECT_CASHOUT,UPI_FRAUD,Mumbai,Maharashtra,48590.8,13334,0
CASE_000172,CROSS_STATE,INVESTMENT_FRAUD,Nashik,Maharashtra,24799.13,73185,0
CASE_000173,DIGITAL_ASSET,PHISHING,Chennai,Tamil Nadu,655087.35,1712,0
CASE_000174,FAN_OUT,UPI_FRAUD,Pune,Maharashtra,60845.55,31076,0
CASE_000175,CROSS_BORDER,DIGITAL_ARREST,Nagpur,Maharashtra,76354.5,210140,0
CASE_000176,DIGITAL_ASSET,ROMANCE_FRAUD,Nashik,Maharashtra,15445.59,238961,0
CASE_000177,DIGITAL_ASSET,UPI_FRAUD,Nashik,Maharashtra,6043.12,136064,0
CASE_000178,DIGITAL_ASSET,ROMANCE_FRAUD,Nashik,Maharashtra,26420.95,64022,0
CASE_000179,FAN_OUT,PHISHING,Delhi,Delhi,33595.17,132752,0
CASE_000180,MULTI_HOP,INVESTMENT_FRAUD,Bengaluru,Karnataka,19701.49,170707,0
CASE_000181,CROSS_STATE,DIGITAL_ARREST,Ahmedabad,Gujarat,41217.13,175396,0
CASE_000182,DIRECT_CASHOUT,UPI_FRAUD,Nashik,Maharashtra,121188.89,55759,0
CASE_000183,MULTI_HOP,JOB_FRAUD,Ahmedabad,Gujarat,122014.55,178050,0
CASE_000184,FAN_IN,UPI_FRAUD,Nagpur,Maharashtra,249736.26,108592,0
CASE_000185,CROSS_BORDER,DIGITAL_ARREST,Mumbai,Maharashtra,150605.87,257316,0
CASE_000186,DIRECT_CASHOUT,REMOTE_ACCESS,Nagpur,Maharashtra,263834.81,37847,0
CASE_000187,ADAPTIVE,REMOTE_ACCESS,Ahmedabad,Gujarat,80638.41,181660,1
CASE_000188,DIGITAL_ASSET,INVESTMENT_FRAUD,Ahmedabad,Gujarat,96387.5,162399,0
CASE_000189,ADAPTIVE,JOB_FRAUD,Bengaluru,Karnataka,10481.68,209933,1
CASE_000190,FAN_OUT,PHISHING,Pune,Maharashtra,89129.85,199571,0
CASE_000191,CROSS_STATE,UPI_FRAUD,Nagpur,Maharashtra,26356.07,251264,0
CASE_000192,FAN_OUT,ROMANCE_FRAUD,Ahmedabad,Gujarat,10626.79,137658,0
CASE_000193,MULTI_HOP,ROMANCE_FRAUD,Chennai,Tamil Nadu,46880.32,198121,0
CASE_000194,DIGITAL_ASSET,PHISHING,Bengaluru,Karnataka,18433.24,17934,0
CASE_000195,FAN_IN,JOB_FRAUD,Ahmedabad,Gujarat,825855.37,38775,0
CASE_000196,MULTI_HOP,JOB_FRAUD,Kolkata,West Bengal,135055.21,208952,0
CASE_000197,FAN_OUT,UPI_FRAUD,Mumbai,Maharashtra,64525.84,174670,0
CASE_000198,MULTI_HOP,REMOTE_ACCESS,Hyderabad,Telangana,28413.97,51066,0
CASE_000199,FAN_IN,INVESTMENT_FRAUD,Kolkata,West Bengal,36522.72,20995,0
CASE_000200,CROSS_STATE,REMOTE_ACCESS,Bengaluru,Karnataka,559222.81,29513,0
CASE_000201,MULTI_HOP,JOB_FRAUD,Kolkata,West Bengal,10292.12,115318,0
CASE_000202,FAN_IN,DIGITAL_ARREST,Kolkata,West Bengal,25293.87,21223,0
CASE_000203,DIGITAL_ASSET,UPI_FRAUD,Bengaluru,Karnataka,49702.49,139055,0
CASE_000204,DIRECT_CASHOUT,ROMANCE_FRAUD,Chennai,Tamil Nadu,472670.56,122172,0
CASE_000205,DIRECT_CASHOUT,REMOTE_ACCESS,Pune,Maharashtra,49976.58,22606,0
CASE_000206,ADAPTIVE,DIGITAL_ARREST,Pune,Maharashtra,5643.94,120886,1
CASE_000207,MULTI_HOP,JOB_FRAUD,Bengaluru,Karnataka,77413.02,84725,0
CASE_000208,DIRECT_CASHOUT,PHISHING,Hyderabad,Telangana,17448.26,127467,0
CASE_000209,CROSS_STATE,JOB_FRAUD,Chennai,Tamil Nadu,92287.49,141517,0
CASE_000210,DIGITAL_ASSET,INVESTMENT_FRAUD,Nashik,Maharashtra,86720.1,33987,0
CASE_000211,CROSS_BORDER,DIGITAL_ARREST,Hyderabad,Telangana,132194.32,105367,0
CASE_000212,DIRECT_CASHOUT,JOB_FRAUD,Pune,Maharashtra,36303.32,3728,0
CASE_000213,DIRECT_CASHOUT,UPI_FRAUD,Delhi,Delhi,15248.72,8769,0
CASE_000214,ADAPTIVE,PHISHING,Kolkata,West Bengal,76621.61,72619,1
CASE_000215,MULTI_HOP,UPI_FRAUD,Delhi,Delhi,12177.46,80374,0
CASE_000216,MULTI_HOP,JOB_FRAUD,Nashik,Maharashtra,94918.17,189510,0
CASE_000217,DIGITAL_ASSET,PHISHING,Ahmedabad,Gujarat,79865.57,46938,0
CASE_000218,MULTI_HOP,JOB_FRAUD,Delhi,Delhi,326934.54,118539,0
CASE_000219,DIRECT_CASHOUT,REMOTE_ACCESS,Nagpur,Maharashtra,275265.28,69342,0
CASE_000220,CROSS_BORDER,ROMANCE_FRAUD,Ahmedabad,Gujarat,3687.34,22002,0
CASE_000221,DIRECT_CASHOUT,JOB_FRAUD,Nashik,Maharashtra,117518.83,144930,0
CASE_000222,DIRECT_CASHOUT,ROMANCE_FRAUD,Bengaluru,Karnataka,68118.04,7937,0
CASE_000223,MULTI_HOP,DIGITAL_ARREST,Nagpur,Maharashtra,750722.11,175366,0
CASE_000224,DIGITAL_ASSET,UPI_FRAUD,Mumbai,Maharashtra,28739.03,98112,0
CASE_000225,MULTI_HOP,UPI_FRAUD,Kolkata,West Bengal,8124.31,91277,0
CASE_000226,FAN_IN,UPI_FRAUD,Hyderabad,Telangana,50174.93,148406,0
CASE_000227,FAN_IN,REMOTE_ACCESS,Nashik,Maharashtra,210114.54,108562,0
CASE_000228,CROSS_STATE,REMOTE_ACCESS,Nashik,Maharashtra,46237.36,217919,0
CASE_000229,MULTI_HOP,REMOTE_ACCESS,Delhi,Delhi,17350.37,37467,0
CASE_000230,DIRECT_CASHOUT,REMOTE_ACCESS,Bengaluru,Karnataka,106021.97,173396,0
CASE_000231,FAN_IN,REMOTE_ACCESS,Delhi,Delhi,41216.63,169862,0
CASE_000232,DIRECT_CASHOUT,JOB_FRAUD,Nashik,Maharashtra,58072.76,200262,0
CASE_000233,FAN_IN,DIGITAL_ARREST,Nashik,Maharashtra,443754.71,82197,0
CASE_000234,MULTI_HOP,PHISHING,Bengaluru,Karnataka,25318.26,87358,0
CASE_000235,DIRECT_CASHOUT,UPI_FRAUD,Pune,Maharashtra,53567.34,153049,0
CASE_000236,MULTI_HOP,ROMANCE_FRAUD,Pune,Maharashtra,22640.23,101144,0
CASE_000237,FAN_IN,UPI_FRAUD,Ahmedabad,Gujarat,1794269.17,234382,0
CASE_000238,FAN_IN,DIGITAL_ARREST,Nagpur,Maharashtra,11001.2,53816,0
CASE_000239,CROSS_STATE,INVESTMENT_FRAUD,Chennai,Tamil Nadu,90388.43,203882,0
CASE_000240,DIRECT_CASHOUT,JOB_FRAUD,Delhi,Delhi,27459.92,192178,0
CASE_000241,FAN_IN,UPI_FRAUD,Bengaluru,Karnataka,61190.15,194421,0
CASE_000242,ADAPTIVE,ROMANCE_FRAUD,Chennai,Tamil Nadu,189749.41,148548,1
CASE_000243,DIRECT_CASHOUT,UPI_FRAUD,Nashik,Maharashtra,40045.64,196573,0
CASE_000244,CROSS_BORDER,DIGITAL_ARREST,Pune,Maharashtra,226745.0,74274,0
CASE_000245,DIGITAL_ASSET,REMOTE_ACCESS,Chennai,Tamil Nadu,66334.94,220374,0
CASE_000246,CROSS_BORDER,INVESTMENT_FRAUD,Ahmedabad,Gujarat,17037.31,149348,0
CASE_000247,DIRECT_CASHOUT,JOB_FRAUD,Kolkata,West Bengal,19619.07,169859,0
CASE_000248,FAN_OUT,ROMANCE_FRAUD,Kolkata,West Bengal,109362.63,191527,0
CASE_000249,MULTI_HOP,DIGITAL_ARREST,Chennai,Tamil Nadu,6216.65,111863,0
CASE_000250,DIRECT_CASHOUT,DIGITAL_ARREST,Hyderabad,Telangana,30780.92,26666,0
CASE_000251,DIGITAL_ASSET,UPI_FRAUD,Nagpur,Maharashtra,133909.41,46282,0
CASE_000252,MULTI_HOP,JOB_FRAUD,Nashik,Maharashtra,15634.87,147039,0
CASE_000253,DIGITAL_ASSET,ROMANCE_FRAUD,Nashik,Maharashtra,35556.81,200345,0
CASE_000254,DIRECT_CASHOUT,INVESTMENT_FRAUD,Hyderabad,Telangana,32441.93,234083,0
CASE_000255,FAN_OUT,UPI_FRAUD,Hyderabad,Telangana,40974.61,138635,0
CASE_000256,MULTI_HOP,UPI_FRAUD,Mumbai,Maharashtra,26797.1,165330,0
CASE_000257,FAN_OUT,ROMANCE_FRAUD,Mumbai,Maharashtra,6756.63,12154,0
CASE_000258,FAN_OUT,PHISHING,Bengaluru,Karnataka,727617.96,210585,0
CASE_000259,MULTI_HOP,REMOTE_ACCESS,Kolkata,West Bengal,16702.23,124430,0
CASE_000260,DIRECT_CASHOUT,UPI_FRAUD,Bengaluru,Karnataka,125236.95,170899,0
CASE_000261,FAN_IN,UPI_FRAUD,Nagpur,Maharashtra,143835.73,174010,0
CASE_000262,DIRECT_CASHOUT,PHISHING,Hyderabad,Telangana,445804.54,126967,0
CASE_000263,FAN_OUT,PHISHING,Delhi,Delhi,73683.36,38413,0
CASE_000264,DIRECT_CASHOUT,REMOTE_ACCESS,Ahmedabad,Gujarat,3000.0,251561,0
CASE_000265,DIGITAL_ASSET,PHISHING,Kolkata,West Bengal,22938.38,223341,0
CASE_000266,MULTI_HOP,INVESTMENT_FRAUD,Pune,Maharashtra,143567.9,193186,0
CASE_000267,FAN_OUT,PHISHING,Kolkata,West Bengal,22243.12,145701,0
CASE_000268,DIGITAL_ASSET,ROMANCE_FRAUD,Ahmedabad,Gujarat,237804.49,176966,0
CASE_000269,FAN_IN,DIGITAL_ARREST,Delhi,Delhi,47381.2,152065,0
CASE_000270,DIRECT_CASHOUT,INVESTMENT_FRAUD,Kolkata,West Bengal,89793.98,202516,0
CASE_000271,DIRECT_CASHOUT,PHISHING,Bengaluru,Karnataka,33994.93,133747,0
CASE_000272,FAN_IN,JOB_FRAUD,Mumbai,Maharashtra,11496.24,196568,0
CASE_000273,CROSS_STATE,DIGITAL_ARREST,Nashik,Maharashtra,23126.87,255427,0
CASE_000274,FAN_IN,DIGITAL_ARREST,Nagpur,Maharashtra,6130.36,155033,0
CASE_000275,ADAPTIVE,DIGITAL_ARREST,Hyderabad,Telangana,23721.2,243829,1
CASE_000276,CROSS_STATE,PHISHING,Bengaluru,Karnataka,34796.55,115640,0
