case_id,split
CASE_002128,train
CASE_005806,train
CASE_002367,train
CASE_004831,train
CASE_006396,train
CASE_001322,train
CASE_003606,train
CASE_006385,train
CASE_001882,train
CASE_001182,train
CASE_007172,train
CASE_007698,train
CASE_002411,train
CASE_003185,train
CASE_008509,train
CASE_000871,train
CASE_008897,train
CASE_008008,train
CASE_009327,train
CASE_008452,train
CASE_005677,train
CASE_005231,train
CASE_006969,train
CASE_005003,train
CASE_006672,train
CASE_009549,train
CASE_000112,train
CASE_005709,train
CASE_004647,train
CASE_000872,train
CASE_003560,train
CASE_002148,train
CASE_002934,train
CASE_004789,train
CASE_006478,train
CASE_009786,train
CASE_008375,train
CASE_006654,train
CASE_006468,train
CASE_003306,train
CASE_007251,train
CASE_002260,train
CASE_001721,train
CASE_007878,train
CASE_004076,train
CASE_000192,train
CASE_006376,train
CASE_006903,train
CASE_009345,train
CASE_007319,train
CASE_000232,train
CASE_007221,train
CASE_006342,train
CASE_006149,train
CASE_007068,train
CASE_000497,train
CASE_007616,train
CASE_000727,train
CASE_003323,train
CASE_000289,train
CASE_004576,train
CASE_001305,train
CASE_003356,train
CASE_006453,train
CASE_004368,train
CASE_006550,train
CASE_006883,train
CASE_001002,train
CASE_003039,train
CASE_003129,train
CASE_005655,train
CASE_006786,train
CASE_005617,train
CASE_004656,train
CASE_008013,train
CASE_006976,train
CASE_005830,train
CASE_002784,train
CASE_001160,train
CASE_008769,train
CASE_009094,train
CASE_009746,train
CASE_004881,train
CASE_003066,train
CASE_009568,train
CASE_000224,train
CASE_002991,train
CASE_007944,train
CASE_005948,train
CASE_002865,train
CASE_005607,train
CASE_000498,train
CASE_003785,train
CASE_000035,train
CASE_001792,train
CASE_000159,train
CASE_002826,train
CASE_001592,train
CASE_008719,train
CASE_006918,train
CASE_002051,train
CASE_005568,train
CASE_000993,train
CASE_001826,train
CASE_008024,train
CASE_006517,train
CASE_003975,train
CASE_008610,train
CASE_000564,train
CASE_007335,train
CASE_009785,train
CASE_004951,train
CASE_000791,train
CASE_000829,train
CASE_009955,train
CASE_009902,train
CASE_008689,train
CASE_006146,train
CASE_000465,train
CASE_001119,train
CASE_003910,train
CASE_000053,train
CASE_000254,train
CASE_005041,train
CASE_007907,train
CASE_001273,train
CASE_009710,train
CASE_007829,train
CASE_004943,train
CASE_003375,train
CASE_008658,train
CASE_008889,train
CASE_009821,train
CASE_009692,train
CASE_000949,train
CASE_000620,train
CASE_005239,train
CASE_001227,train
CASE_000336,train
CASE_009872,train
CASE_001343,train
CASE_008439,train
CASE_007006,train
CASE_007107,train
CASE_004434,train
CASE_003035,train
CASE_003038,train
CASE_005233,train
CASE_005203,train
CASE_008849,train
CASE_000801,train
CASE_009607,train
CASE_005014,train
CASE_006909,train
CASE_002045,train
CASE_002541,train
CASE_007620,train
CASE_000216,train
CASE_006205,train
CASE_009141,train
CASE_006833,train
CASE_001504,train
CASE_003745,train
CASE_002893,train
CASE_002019,train
CASE_004400,train
CASE_000798,train
CASE_008598,train
CASE_004237,train
CASE_002080,train
CASE_009110,train
CASE_001044,train
CASE_000452,train
CASE_004661,train
CASE_009004,train
CASE_009039,train
CASE_005059,train
CASE_000515,train
CASE_002814,train
CASE_005422,train
CASE_009130,train
CASE_003179,train
CASE_007102,train
CASE_002179,train
CASE_007670,train
CASE_008480,train
CASE_004424,train
CASE_007691,train
CASE_009015,train
CASE_005487,train
CASE_006536,train
CASE_005612,train
CASE_007091,train
CASE_000690,train
CASE_005349,train
CASE_000966,train
CASE_004731,train
CASE_005639,train
CASE_009507,train
CASE_006021,train
CASE_003997,train
CASE_008607,train
CASE_000339,train
CASE_005633,train
CASE_008296,train
CASE_009525,train
CASE_006020,train
CASE_005943,train
CASE_004149,train
CASE_001127,train
CASE_007588,train
CASE_007144,train
CASE_003164,train
CASE_007804,train
CASE_002846,train
CASE_000335,train
CASE_000445,train
CASE_008294,train
CASE_006905,train
CASE_003165,train
CASE_001634,train
CASE_004148,train
CASE_004027,train
CASE_003790,train
CASE_009562,train
CASE_009963,train
CASE_007590,train
CASE_009340,train
CASE_001899,train
CASE_009041,train
CASE_001143,train
CASE_004916,train
CASE_006991,train
CASE_002042,train
CASE_009996,train
CASE_001791,train
CASE_000009,train
CASE_005431,train
CASE_004010,train
CASE_009128,train
CASE_002843,train
CASE_005240,train
CASE_006745,train
CASE_009583,train
CASE_000425,train
CASE_000585,train
CASE_000937,train
CASE_000406,train
CASE_005606,train
CASE_001448,train
CASE_009208,train
CASE_004570,train
CASE_008647,train
CASE_006930,train
CASE_002771,train
CASE_002345,train
CASE_003888,train
CASE_001859,train
CASE_001360,train
CASE_006068,train
CASE_000898,train
CASE_005045,train
CASE_004619,train
CASE_002154,train
CASE_000100,train
CASE_003850,train
CASE_009556,train
CASE_007920,train
CASE_002261,train
CASE_005707,train
CASE_005849,train
CASE_005543,train
CASE_005325,train
CASE_000103,train
CASE_007560,train
CASE_000131,train
CASE_003626,train
CASE_006047,train
CASE_000710,train
CASE_008183,train
CASE_006564,train
CASE_002795,train
CASE_007244,train
CASE_009422,train
CASE_003319,train
CASE_000812,train
CASE_006912,train
CASE_009648,train
CASE_008982,train
CASE_004512,train
CASE_009876,train
CASE_000136,train
CASE_004322,train
CASE_008287,train
CASE_003476,train
CASE_003428,train
CASE_009438,train
CASE_003406,train
CASE_001211,train
CASE_003131,train
CASE_005300,train
CASE_005162,train
CASE_007206,train
CASE_002940,train
CASE_007851,train
CASE_007116,train
CASE_006760,train
CASE_006936,train
CASE_006023,train
CASE_008308,train
CASE_005446,train
CASE_006455,train
CASE_008471,train
CASE_003701,train
CASE_005553,train
CASE_006631,train
CASE_000024,train
CASE_005567,train
CASE_002150,train
CASE_000135,train
CASE_007014,train
CASE_004712,train
CASE_003296,train
CASE_000604,train
CASE_008297,train
CASE_001291,train
CASE_003362,train
CASE_000418,train
CASE_009560,train
CASE_000129,train
CASE_002233,train
CASE_002073,train
CASE_009762,train
CASE_009325,train
CASE_004869,train
CASE_000876,train
CASE_008026,train
CASE_007078,train
CASE_008164,train
CASE_000818,train
CASE_000986,train
CASE_002503,train
CASE_009492,train
CASE_002120,train
CASE_003683,train
CASE_008876,train
CASE_009801,train
CASE_005880,train
CASE_003635,train
CASE_000201,train
CASE_000441,train
CASE_000593,train
CASE_001304,train
CASE_003496,train
CASE_003517,train
CASE_004620,train
CASE_006816,train
CASE_001559,train
CASE_002254,train
CASE_007659,train
CASE_008714,train
CASE_005700,train
CASE_007892,train
CASE_006091,train
CASE_008902,train
CASE_001325,train
CASE_009569,train
CASE_000087,train
CASE_002413,train
CASE_001915,train
CASE_000474,train
CASE_008550,train
CASE_004124,train
CASE_009926,train
CASE_001950,train
CASE_002794,train
CASE_001682,train
CASE_004112,train
CASE_005962,train
CASE_007651,train
CASE_000902,train
CASE_000236,train
CASE_004277,train
CASE_009153,train
CASE_003736,train
CASE_006723,train
CASE_007338,train
CASE_004600,train
CASE_006663,train
CASE_000877,train
CASE_002542,train
CASE_000772,train
CASE_008983,train
CASE_006845,train
CASE_009211,train
CASE_007446,train
CASE_002944,train
CASE_008372,train
CASE_007173,train
CASE_004820,train
CASE_004488,train
CASE_002719,train
CASE_009650,train
CASE_005625,train
CASE_009888,train
CASE_006315,train
CASE_007608,train
CASE_007870,train
CASE_002159,train
CASE_008948,train
CASE_007566,train
CASE_007081,train
CASE_000451,train
CASE_006148,train
CASE_003268,train
CASE_000403,train
CASE_003822,train
CASE_001400,train
CASE_006417,train
CASE_009567,train
CASE_000632,train
CASE_000708,train
CASE_004263,train
CASE_008560,train
CASE_001462,train
CASE_009070,train
CASE_001344,train
CASE_005001,train
CASE_005174,train
CASE_006961,train
CASE_003618,train
CASE_009420,train
CASE_000958,train
CASE_002395,train
CASE_007160,train
CASE_007622,train
CASE_007437,train
CASE_001042,train
CASE_002952,train
CASE_009163,train
CASE_003917,train
CASE_001638,train
CASE_003834,train
CASE_009105,train
CASE_004778,train
CASE_002534,train
CASE_008676,train
CASE_002357,train
CASE_008637,train
CASE_005319,train
CASE_000004,train
CASE_003103,train
CASE_006230,train
CASE_001342,train
CASE_004912,train
CASE_000271,train
CASE_006728,train
CASE_002855,train
CASE_008728,train
CASE_004644,train
CASE_003462,train
CASE_003087,train
CASE_004134,train
CASE_008117,train
CASE_002300,train
CASE_005028,train
CASE_001152,train
CASE_007581,train
CASE_008427,train
CASE_002457,train
CASE_009473,train
CASE_008510,train
CASE_000286,train
CASE_009950,train
CASE_008798,train
CASE_002837,train
CASE_000399,train
CASE_004002,train
CASE_006586,train
CASE_007708,train
CASE_003104,train
CASE_005759,train
CASE_003978,train
CASE_000042,train
CASE_008391,train
CASE_006108,train
CASE_005225,train
CASE_003122,train
CASE_007824,train
CASE_006741,train
CASE_002009,train
CASE_009599,train
CASE_002402,train
CASE_009121,train
CASE_001890,train
CASE_001990,train
CASE_002464,train
CASE_007391,train
CASE_003068,train
CASE_002649,train
CASE_004860,train
CASE_008707,train
CASE_006636,train
CASE_002156,train
CASE_009677,train
CASE_004646,train
CASE_007011,train
CASE_000429,train
CASE_003919,train
CASE_001907,train
CASE_002137,train
CASE_008666,train
CASE_006339,train
CASE_003275,train
CASE_001599,train
CASE_000979,train
CASE_006088,train
CASE_008065,train
CASE_005421,train
CASE_005148,train
CASE_007841,train
CASE_001284,train
CASE_007132,train
CASE_004321,train
CASE_009721,train
CASE_005885,train
CASE_001528,train
CASE_002067,train
CASE_004255,train
CASE_009565,train
CASE_001838,train
CASE_004494,train
CASE_006461,train
CASE_006552,train
CASE_007083,train
CASE_001821,train
CASE_009838,train
CASE_007615,train
CASE_004492,train
CASE_002607,train
CASE_007176,train
CASE_001369,train
CASE_007972,train
CASE_006305,train
CASE_007105,train
CASE_008967,train
CASE_001936,train
CASE_009123,train
CASE_009090,train
CASE_007901,train
CASE_000420,train
CASE_002647,train
CASE_009196,train
CASE_006411,train
CASE_004527,train
CASE_000521,train
CASE_000527,train
CASE_007216,train
CASE_007572,train
CASE_003873,train
CASE_003341,train
CASE_009884,train
CASE_009445,train
CASE_006067,train
CASE_000557,train
CASE_006010,train
CASE_002267,train
CASE_005333,train
CASE_004232,train
CASE_005397,train
CASE_004105,train
CASE_008004,train
CASE_001734,train
CASE_003279,train
CASE_003623,train
CASE_007016,train
CASE_000681,train
CASE_008651,train
CASE_006314,train
CASE_007066,train
CASE_004009,train
CASE_009232,train
CASE_008292,train
CASE_005910,train
CASE_008937,train
CASE_008206,train
CASE_003726,train
CASE_001649,train
CASE_003135,train
CASE_005042,train
CASE_006568,train
CASE_002139,train
CASE_008032,train
CASE_004238,train
CASE_004244,train
CASE_008664,train
CASE_000776,train
CASE_005159,train
CASE_008683,train
CASE_000119,train
CASE_005265,train
CASE_005371,train
CASE_009180,train
CASE_007838,train
CASE_003391,train
CASE_007041,train
CASE_002430,train
CASE_003015,train
CASE_006280,train
CASE_003836,train
CASE_008387,train
CASE_006748,train
CASE_000561,train
CASE_009839,train
CASE_007629,train
CASE_008970,train
CASE_006353,train
CASE_000695,train
CASE_008543,train
CASE_002491,train
CASE_009939,train
CASE_005641,train
CASE_004567,train
CASE_000076,train
CASE_004595,train
CASE_000096,train
CASE_002683,train
CASE_002508,train
CASE_002684,train
CASE_002568,train
CASE_009377,train
CASE_005937,train
CASE_006647,train
CASE_005738,train
CASE_009728,train
CASE_004175,train
CASE_004702,train
CASE_006422,train
CASE_003857,train
CASE_009403,train
CASE_000486,train
CASE_005814,train
CASE_001639,train
CASE_006036,train
CASE_009261,train
CASE_003849,train
CASE_005024,train
CASE_009198,train
CASE_006112,train
CASE_002782,train
CASE_000426,train
CASE_006426,train
CASE_007491,train
CASE_003650,train
CASE_004727,train
CASE_006311,train
CASE_000008,train
CASE_005102,train
CASE_003354,train
CASE_009223,train
CASE_001157,train
CASE_003719,train
CASE_004907,train
CASE_001510,train
CASE_007130,train
CASE_001457,train
CASE_005435,train
CASE_005392,train
CASE_000717,train
CASE_003986,train
CASE_002323,train
CASE_005242,train
CASE_006433,train
CASE_007758,train
CASE_007547,train
CASE_005106,train
CASE_000580,train
CASE_003260,train
CASE_006121,train
CASE_005736,train
CASE_004557,train
CASE_006027,train
CASE_006463,train
CASE_000165,train
CASE_001378,train
CASE_001048,train
CASE_001065,train
CASE_007149,train
CASE_007226,train
CASE_002214,train
CASE_003668,train
CASE_007419,train
CASE_003263,train
CASE_008049,train
CASE_000262,train
CASE_004643,train
CASE_003000,train
CASE_002909,train
CASE_000463,train
CASE_000512,train
CASE_008019,train
CASE_006510,train
CASE_004618,train
CASE_002387,train
CASE_004225,train
CASE_000854,train
CASE_006124,train
CASE_000992,train
CASE_009750,train
CASE_005339,train
CASE_005520,train
CASE_009344,train
CASE_008316,train
CASE_000814,train
CASE_008409,train
CASE_000071,train
CASE_002101,train
CASE_000266,train
CASE_009043,train
CASE_009210,train
CASE_006232,train
CASE_007882,train
CASE_000861,train
CASE_002037,train
CASE_001200,train
CASE_000834,train
CASE_000252,train
CASE_004522,train
CASE_001402,train
CASE_005188,train
CASE_009430,train
CASE_002151,train
CASE_000187,train
CASE_008307,train
CASE_006487,train
CASE_000768,train
CASE_008285,train
CASE_001427,train
CASE_002317,train
CASE_001712,train
CASE_008766,train
CASE_005927,train
CASE_001323,train
CASE_001846,train
CASE_002350,train
CASE_000838,train
CASE_006716,train
CASE_002908,train
CASE_002777,train
CASE_009068,train
CASE_001702,train
CASE_005161,train
CASE_000361,train
CASE_000581,train
CASE_002497,train
CASE_001087,train
CASE_002610,train
CASE_000576,train
CASE_005092,train
CASE_007422,train
CASE_001913,train
CASE_006914,train
CASE_002417,train
CASE_000220,train
CASE_008752,train
CASE_006331,train
CASE_006387,train
CASE_008791,train
CASE_004723,train
CASE_001289,train
CASE_002461,train
CASE_009060,train
CASE_006815,train
CASE_002717,train
CASE_006970,train
CASE_006889,train
CASE_007165,train
CASE_002404,train
CASE_004366,train
CASE_004998,train
CASE_006330,train
CASE_006710,train
CASE_008678,train
CASE_006940,train
CASE_003175,train
CASE_000542,train
CASE_001263,train
CASE_004841,train
CASE_004775,train
CASE_008521,train
CASE_003250,train
CASE_003712,train
CASE_008324,train
CASE_003688,train
CASE_002852,train
CASE_002874,train
CASE_007953,train
CASE_001476,train
CASE_009318,train
CASE_003432,train
CASE_003051,train
CASE_002386,train
CASE_009763,train
CASE_004433,train
CASE_006503,train
CASE_006206,train
CASE_008921,train
CASE_002575,train
CASE_000067,train
CASE_007889,train
CASE_003155,train
CASE_007374,train
CASE_008754,train
CASE_001619,train
CASE_008634,train
CASE_007395,train
CASE_007682,train
CASE_002258,train
CASE_002859,train
CASE_008834,train
CASE_003752,train
CASE_008474,train
CASE_007569,train
CASE_004698,train
CASE_004091,train
CASE_009502,train
CASE_002177,train
CASE_008540,train
CASE_005492,train
CASE_006098,train
CASE_005929,train
CASE_003227,train
CASE_005230,train
CASE_003283,train
CASE_001307,train
CASE_002887,train
CASE_005214,train
CASE_005278,train
CASE_009256,train
CASE_000880,train
CASE_004401,train
CASE_003481,train
CASE_004301,train
CASE_001543,train
CASE_008352,train
CASE_007291,train
CASE_002586,train
CASE_009397,train
CASE_000904,train
CASE_009991,train
CASE_007048,train
CASE_008780,train
CASE_000207,train
CASE_009235,train
CASE_001875,train
CASE_009956,train
CASE_005949,train
CASE_007155,train
CASE_001162,train
CASE_005077,train
CASE_000470,train
CASE_000977,train
CASE_006787,train
CASE_001762,train
CASE_007290,train
CASE_007261,train
CASE_004994,train
CASE_006336,train
CASE_000127,train
CASE_003835,train
CASE_004295,train
CASE_001790,train
CASE_003527,train
CASE_009376,train
CASE_002838,train
CASE_001056,train
CASE_009268,train
CASE_003254,train
CASE_002939,train
CASE_005743,train
CASE_001579,train
CASE_006446,train
CASE_007831,train
CASE_000997,train
CASE_005084,train
CASE_000901,train
CASE_005731,train
CASE_001667,train
CASE_008724,train
CASE_008417,train
CASE_002805,train
CASE_006974,train
CASE_002606,train
CASE_004319,train
CASE_006674,train
CASE_009592,train
CASE_000072,train
CASE_008386,train
CASE_006432,train
CASE_009392,train
CASE_006296,train
CASE_006302,train
CASE_001493,train
CASE_002082,train
CASE_008799,train
CASE_007517,train
CASE_002687,train
CASE_002918,train
CASE_009948,train
CASE_000910,train
CASE_001120,train
CASE_006733,train
CASE_002966,train
CASE_007776,train
CASE_007954,train
CASE_000248,train
CASE_005850,train
CASE_006832,train
CASE_003982,train
CASE_007225,train
CASE_009714,train
CASE_005579,train
CASE_004459,train
CASE_001754,train
CASE_005926,train
CASE_006338,train
CASE_004782,train
CASE_004536,train
CASE_007631,train
CASE_006668,train
CASE_002628,train
CASE_006575,train
CASE_001123,train
CASE_001979,train
CASE_007541,train
CASE_006488,train
CASE_001445,train
CASE_009518,train
CASE_005938,train
CASE_002663,train
CASE_005603,train
CASE_006000,train
CASE_002881,train
CASE_007638,train
CASE_002377,train
CASE_003515,train
CASE_009539,train
CASE_002304,train
CASE_004826,train
CASE_004701,train
CASE_002708,train
CASE_007289,train
CASE_008604,train
CASE_003499,train
CASE_005179,train
CASE_009035,train
CASE_006873,train
CASE_006193,train
CASE_005751,train
CASE_005347,train
CASE_009577,train
CASE_009264,train
CASE_003226,train
CASE_007279,train
CASE_001024,train
CASE_004258,train
CASE_003749,train
CASE_009259,train
CASE_006498,train
CASE_000946,train
CASE_009020,train
CASE_008410,train
CASE_009635,train
CASE_006254,train
CASE_006893,train
CASE_005197,train
CASE_006060,train
CASE_007809,train
CASE_004341,train
CASE_001547,train
CASE_005100,train
CASE_005344,train
CASE_005073,train
CASE_004458,train
CASE_000757,train
CASE_001818,train
CASE_006744,train
CASE_005839,train
CASE_007873,train
CASE_009170,train
CASE_001075,train
CASE_007735,train
CASE_005093,train
CASE_007178,train
CASE_001472,train
CASE_003656,train
CASE_007796,train
CASE_009169,train
CASE_006447,train
CASE_003856,train
CASE_007021,train
CASE_007866,train
CASE_008128,train
CASE_005471,train
CASE_008947,train
CASE_006721,train
CASE_005459,train
CASE_007955,train
CASE_007644,train
CASE_007138,train
CASE_001146,train
CASE_001676,train
CASE_007328,train
CASE_009393,train
CASE_000229,train
CASE_005136,train
CASE_006605,train
CASE_001366,train
CASE_005920,train
CASE_008960,train
CASE_000088,train
CASE_003320,train
CASE_004550,train
CASE_001989,train
CASE_006685,train
CASE_001918,train
CASE_001404,train
CASE_004031,train
CASE_004975,train
CASE_004781,train
CASE_009596,train
CASE_005877,train
CASE_003215,train
CASE_002107,train
CASE_008342,train
CASE_007496,train
CASE_001214,train
CASE_007579,train
CASE_004739,train
CASE_002536,train
CASE_000019,train
CASE_004700,train
CASE_001530,train
CASE_007668,train
CASE_009003,train
CASE_002875,train
CASE_007908,train
CASE_007263,train
CASE_002014,train
CASE_007076,train
CASE_002022,train
CASE_008958,train
CASE_006137,train
CASE_007079,train
CASE_002958,train
CASE_008286,train
CASE_005602,train
CASE_000943,train
CASE_008207,train
CASE_006519,train
CASE_009199,train
CASE_005683,train
CASE_004348,train
CASE_009571,train
CASE_002616,train
CASE_001546,train
CASE_007699,train
CASE_000704,train
CASE_008448,train
CASE_007146,train
CASE_003697,train
CASE_001959,train
CASE_000882,train
CASE_000251,train
CASE_003970,train
CASE_003123,train
CASE_006241,train
CASE_001973,train
CASE_001848,train
CASE_000048,train
CASE_006623,train
CASE_003151,train
CASE_005866,train
CASE_007005,train
CASE_000191,train
CASE_000535,train
CASE_007534,train
CASE_006761,train
CASE_006989,train
CASE_003965,train
CASE_000982,train
CASE_004208,train
CASE_002667,train
CASE_003973,train
CASE_003658,train
CASE_005178,train
CASE_009285,train
CASE_003083,train
CASE_001862,train
CASE_003738,train
CASE_002989,train
CASE_009788,train
CASE_007147,train
CASE_000069,train
CASE_004182,train
CASE_004224,train
CASE_006834,train
CASE_007356,train
CASE_008368,train
CASE_002561,train
CASE_004549,train
CASE_001399,train
CASE_005238,train
CASE_000816,train
CASE_007859,train
CASE_004508,train
CASE_003081,train
CASE_007677,train
CASE_004705,train
CASE_005998,train
CASE_001341,train
CASE_001968,train
CASE_007834,train
CASE_001720,train
CASE_005183,train
CASE_009045,train
CASE_001664,train
CASE_005217,train
CASE_005663,train
CASE_007988,train
CASE_009459,train
CASE_006791,train
CASE_007207,train
CASE_005987,train
CASE_005366,train
CASE_009139,train
CASE_000959,train
CASE_005654,train
CASE_005692,train
CASE_003833,train
CASE_003921,train
CASE_005281,train
CASE_007919,train
CASE_002421,train
CASE_000398,train
CASE_002694,train
CASE_000889,train
CASE_003288,train
CASE_005635,train
CASE_006466,train
CASE_001500,train
CASE_006144,train
CASE_001361,train
CASE_004555,train
CASE_006304,train
CASE_004410,train
CASE_008917,train
CASE_000379,train
CASE_002309,train
CASE_008499,train
CASE_000908,train
CASE_006569,train
CASE_007926,train
CASE_001000,train
CASE_008039,train
CASE_001535,train
CASE_001265,train
CASE_007018,train
CASE_004495,train
CASE_005326,train
CASE_001376,train
CASE_004279,train
CASE_009752,train
CASE_006452,train
CASE_000995,train
CASE_005811,train
CASE_008995,train
CASE_006051,train
CASE_007985,train
CASE_005317,train
CASE_007054,train
CASE_009186,train
CASE_004211,train
CASE_006847,train
CASE_008176,train
CASE_001245,train
CASE_000731,train
CASE_005192,train
CASE_000545,train
CASE_007603,train
CASE_005051,train
CASE_003607,train
CASE_005690,train
CASE_008040,train
CASE_009566,train
CASE_007612,train
CASE_007161,train
CASE_005752,train
CASE_003282,train
CASE_007043,train
CASE_009647,train
CASE_001432,train
CASE_001584,train
CASE_001901,train
CASE_006701,train
CASE_009937,train
CASE_008586,train
CASE_004950,train
CASE_001607,train
CASE_006770,train
CASE_003797,train
CASE_008545,train
CASE_006615,train
CASE_009791,train
CASE_002076,train
CASE_001509,train
CASE_002750,train
CASE_003838,train
CASE_009526,train
CASE_000938,train
CASE_009347,train
CASE_000040,train
CASE_007646,train
CASE_008135,train
CASE_009836,train
CASE_004098,train
CASE_005516,train
CASE_008979,train
