atm_id,bank_id,city,state,latitude,longitude,baseline_daily_txn_volume,operating_24x7,synthetic_risk_zone
ATM_000093,BANK_02,Chennai,Tamil Nadu,13.086998,80.327306,222,1,97
ATM_000094,BANK_09,Mumbai,Maharashtra,19.11061,72.872431,1139,0,29
ATM_000095,BANK_06,Hyderabad,Telangana,17.31711,78.516476,191,1,86
ATM_000096,BANK_02,Bengaluru,Karnataka,12.927276,77.546358,872,0,30
ATM_000097,BANK_01,Ahmedabad,Gujarat,22.96033,72.641502,1188,1,26
ATM_000098,BANK_11,Hyderabad,Telangana,17.419136,78.478107,1689,0,34
ATM_000099,BANK_15,Hyderabad,Telangana,17.411152,78.487488,390,1,74
ATM_000100,BANK_08,Bengaluru,Karnataka,12.937126,77.594491,581,1,3
ATM_000101,BANK_09,Nagpur,Maharashtra,21.075754,79.161283,772,0,19
ATM_000102,BANK_05,Hyderabad,Telangana,17.424736,78.465557,1680,1,16
ATM_000103,BANK_05,Mumbai,Maharashtra,19.125019,72.774997,1081,1,77
ATM_000104,BANK_07,Pune,Maharashtra,18.495853,73.754269,136,1,4
ATM_000105,BANK_15,Pune,Maharashtra,18.552686,73.921232,1577,1,77
ATM_000106,BANK_05,Kolkata,West Bengal,22.485552,88.386929,1356,1,12
ATM_000107,BANK_13,Nagpur,Maharashtra,21.174455,79.088177,1484,1,87
ATM_000108,BANK_07,Bengaluru,Karnataka,12.977657,77.642557,483,1,58
ATM_000109,BANK_11,Chennai,Tamil Nadu,13.067967,80.289297,1670,1,52
ATM_000110,BANK_14,Nagpur,Maharashtra,21.136625,79.096145,1528,0,75
ATM_000111,BANK_10,Mumbai,Maharashtra,19.072033,72.890922,1080,1,48
ATM_000112,BANK_04,Hyderabad,Telangana,17.356013,78.440086,398,1,29
ATM_000113,BANK_01,Ahmedabad,Gujarat,23.038905,72.61121,423,1,55
ATM_000114,BANK_03,Chennai,Tamil Nadu,13.030949,80.247472,1362,1,61
ATM_000115,BANK_02,Ahmedabad,Gujarat,23.047493,72.532791,185,1,9
ATM_000116,BANK_06,Mumbai,Maharashtra,19.025539,72.92491,727,1,53
ATM_000117,BANK_04,Mumbai,Maharashtra,19.048999,72.944756,1677,1,83
ATM_000118,BANK_12,Delhi,Delhi,28.612041,77.067927,1186,1,83
ATM_000119,BANK_08,Nashik,Maharashtra,20.063432,73.768847,367,0,66
ATM_000120,BANK_12,Bengaluru,Karnataka,13.011714,77.58037,854,1,60
ATM_000121,BANK_08,Bengaluru,Karnataka,12.953379,77.583525,555,1,20
ATM_000122,BANK_12,Nagpur,Maharashtra,21.178921,79.081268,1630,1,95
ATM_000123,BANK_14,Kolkata,West Bengal,22.525899,88.397623,1486,1,40
ATM_000124,BANK_11,Delhi,Delhi,28.60712,77.185338,1351,0,57
ATM_000125,BANK_11,Bengaluru,Karnataka,12.888581,77.576565,197,1,94
ATM_000126,BANK_04,Ahmedabad,Gujarat,23.064771,72.615697,831,1,38
ATM_000127,BANK_10,Bengaluru,Karnataka,12.955859,77.592034,234,1,95
ATM_000128,BANK_05,Nagpur,Maharashtra,21.131559,78.974875,1526,1,92
ATM_000129,BANK_04,Mumbai,Maharashtra,19.072225,72.929471,279,1,31
ATM_000130,BANK_15,Nagpur,Maharashtra,21.156746,79.037053,1036,1,43
ATM_000131,BANK_10,Pune,Maharashtra,18.530032,73.830899,333,1,76
ATM_000132,BANK_10,Bengaluru,Karnataka,12.935332,77.663994,1268,1,3
ATM_000133,BANK_06,Pune,Maharashtra,18.51059,73.868304,427,1,99
ATM_000134,BANK_04,Nagpur,Maharashtra,21.202991,79.135167,1221,0,88
ATM_000135,BANK_13,Delhi,Delhi,28.638042,77.209313,223,0,93
ATM_000136,BANK_10,Nagpur,Maharashtra,21.181685,79.061193,849,1,100
ATM_000137,BANK_11,Pune,Maharashtra,18.489897,73.837385,129,1,72
ATM_000138,BANK_04,Mumbai,Maharashtra,19.076307,72.814174,1043,0,5
ATM_000139,BANK_02,Mumbai,Maharashtra,19.042094,72.802458,517,0,39
ATM_000140,BANK_05,Nagpur,Maharashtra,21.133477,79.094187,219,1,21
ATM_000141,BANK_08,Chennai,Tamil Nadu,13.029992,80.213981,842,1,14
ATM_000142,BANK_04,Mumbai,Maharashtra,19.156087,72.825482,1770,1,83
ATM_000143,BANK_07,Pune,Maharashtra,18.553208,73.835349,785,1,81
ATM_000144,BANK_07,Mumbai,Maharashtra,19.058358,72.885661,1205,1,12
ATM_000145,BANK_01,Kolkata,West Bengal,22.597516,88.391704,767,1,11
ATM_000146,BANK_10,Kolkata,West Bengal,22.591518,88.390576,490,1,87
ATM_000147,BANK_07,Nashik,Maharashtra,19.973938,73.744614,1044,0,21
ATM_000148,BANK_11,Mumbai,Maharashtra,19.079013,72.834369,1177,1,18
ATM_000149,BANK_01,Nashik,Maharashtra,19.976277,73.827847,949,1,4
ATM_000150,BANK_03,Nagpur,Maharashtra,21.076453,79.164235,1688,0,39
ATM_000151,BANK_10,Delhi,Delhi,28.547452,77.178793,1662,1,66
ATM_000152,BANK_13,Ahmedabad,Gujarat,23.007495,72.617018,1431,0,3
ATM_000153,BANK_03,Kolkata,West Bengal,22.532619,88.398259,122,1,1
ATM_000154,BANK_04,Kolkata,West Bengal,22.54723,88.413814,1639,0,23
ATM_000155,BANK_08,Pune,Maharashtra,18.504136,73.896025,814,1,34
ATM_000156,BANK_07,Nagpur,Maharashtra,21.111577,79.040956,849,1,48
ATM_000157,BANK_12,Chennai,Tamil Nadu,13.097488,80.200442,1533,1,26
ATM_000158,BANK_03,Chennai,Tamil Nadu,13.100633,80.290718,714,0,43
ATM_000159,BANK_13,Nagpur,Maharashtra,21.114503,79.08919,730,1,7
ATM_000160,BANK_07,Kolkata,West Bengal,22.553752,88.374356,1363,1,84
ATM_000161,BANK_01,Pune,Maharashtra,18.509548,73.907217,469,1,31
ATM_000162,BANK_01,Hyderabad,Telangana,17.407411,78.46079,1230,0,38
ATM_000163,BANK_14,Nagpur,Maharashtra,21.192275,79.090636,1393,0,91
ATM_000164,BANK_06,Hyderabad,Telangana,17.318191,78.526085,1142,1,5
ATM_000165,BANK_14,Bengaluru,Karnataka,12.967858,77.634518,1588,1,46
ATM_000166,BANK_03,Delhi,Delhi,28.6149,77.201385,1412,0,43
ATM_000167,BANK_10,Hyderabad,Telangana,17.316441,78.479511,311,1,43
ATM_000168,BANK_09,Hyderabad,Telangana,17.402265,78.494033,1115,0,71
ATM_000169,BANK_01,Nagpur,Maharashtra,21.197947,79.100833,355,0,62
ATM_000170,BANK_02,Mumbai,Maharashtra,19.088734,72.850917,475,1,99
ATM_000171,BANK_14,Ahmedabad,Gujarat,22.992783,72.568301,750,1,85
ATM_000172,BANK_03,Chennai,Tamil Nadu,13.086167,80.208575,1405,1,64
ATM_000173,BANK_03,Pune,Maharashtra,18.562723,73.826053,1570,1,64
ATM_000174,BANK_05,Hyderabad,Telangana,17.420352,78.472547,603,1,10
ATM_000175,BANK_01,Nagpur,Maharashtra,21.124905,79.098122,1264,0,97
ATM_000176,BANK_09,Mumbai,Maharashtra,19.075997,72.881301,869,1,49
ATM_000177,BANK_11,Bengaluru,Karnataka,12.948831,77.586366,670,1,62
ATM_000178,BANK_14,Delhi,Delhi,28.664657,77.187671,676,1,55
ATM_000179,BANK_08,Mumbai,Maharashtra,19.059132,72.897731,157,0,32
ATM_000180,BANK_07,Nagpur,Maharashtra,21.171009,79.024397,1440,1,37
ATM_000181,BANK_11,Ahmedabad,Gujarat,23.085177,72.62688,109,1,63
ATM_000182,BANK_09,Bengaluru,Karnataka,13.06073,77.60835,379,1,85
ATM_000183,BANK_11,Nashik,Maharashtra,19.949352,73.749948,1322,1,48
ATM_000184,BANK_10,Nagpur,Maharashtra,21.135817,79.076689,303,0,77
ATM_000185,BANK_05,Ahmedabad,Gujarat,23.040524,72.6342,794,1,43
ATM_000186,BANK_15,Nagpur,Maharashtra,21.156095,79.100849,1391,1,42
ATM_000187,BANK_04,Pune,Maharashtra,18.527503,73.780038,1356,0,6
ATM_000188,BANK_02,Hyderabad,Telangana,17.39224,78.481377,1508,0,92
ATM_000189,BANK_11,Delhi,Delhi,28.605264,77.264146,1774,1,51
ATM_000190,BANK_10,Bengaluru,Karnataka,12.914506,77.60224,756,1,54
ATM_000191,BANK_02,Chennai,Tamil Nadu,13.068903,80.310309,731,1,90
ATM_000192,BANK_09,Delhi,Delhi,28.628159,77.191812,1468,1,26
ATM_000193,BANK_01,Nagpur,Maharashtra,21.152624,78.984858,365,1,72
ATM_000194,BANK_01,Pune,Maharashtra,18.513742,73.88569,473,0,79
ATM_000195,BANK_13,Hyderabad,Telangana,17.364319,78.533143,464,1,43
ATM_000196,BANK_03,Nagpur,Maharashtra,21.064349,79.113428,123,1,65
ATM_000197,BANK_02,Delhi,Delhi,28.648246,77.151136,166,1,100
ATM_000198,BANK_05,Nashik,Maharashtra,19.902759,73.785859,657,0,79
ATM_000199,BANK_06,Hyderabad,Telangana,17.401431,78.482504,1038,1,39
ATM_000200,BANK_05,Nashik,Maharashtra,20.003587,73.789354,99,0,37
ATM_000201,BANK_14,Chennai,Tamil Nadu,13.054049,80.215648,1169,1,60
ATM_000202,BANK_08,Chennai,Tamil Nadu,13.008601,80.312288,1727,1,7
ATM_000203,BANK_03,Delhi,Delhi,28.574667,77.180321,725,1,53
ATM_000204,BANK_01,Delhi,Delhi,28.582933,77.204755,1602,1,15
ATM_000205,BANK_02,Delhi,Delhi,28.658672,77.248776,1357,1,22
ATM_000206,BANK_04,Bengaluru,Karnataka,12.961503,77.537929,1130,1,100
ATM_000207,BANK_07,Ahmedabad,Gujarat,23.101824,72.587615,262,1,53
ATM_000208,BANK_14,Delhi,Delhi,28.606237,77.138647,428,1,18
ATM_000209,BANK_08,Hyderabad,Telangana,17.340293,78.485028,1419,1,85
ATM_000210,BANK_07,Kolkata,West Bengal,22.604375,88.399843,111,1,14
ATM_000211,BANK_01,Hyderabad,Telangana,17.443012,78.542635,1157,0,62
ATM_000212,BANK_15,Mumbai,Maharashtra,19.119281,72.926721,1483,0,91
ATM_000213,BANK_08,Bengaluru,Karnataka,13.051732,77.61895,1426,1,84
ATM_000214,BANK_01,Nashik,Maharashtra,19.968844,73.827427,213,1,5
ATM_000215,BANK_01,Delhi,Delhi,28.630027,77.228952,1100,1,46
ATM_000216,BANK_04,Kolkata,West Bengal,22.60116,88.370345,1569,1,46
ATM_000217,BANK_08,Delhi,Delhi,28.607162,77.222091,860,1,83
ATM_000218,BANK_10,Hyderabad,Telangana,17.376899,78.487333,325,1,40
ATM_000219,BANK_13,Hyderabad,Telangana,17.375743,78.495168,1523,0,4
ATM_000220,BANK_10,Chennai,Tamil Nadu,13.086539,80.208233,308,1,68
ATM_000221,BANK_14,Bengaluru,Karnataka,12.920594,77.558012,1596,1,58
ATM_000222,BANK_10,Nashik,Maharashtra,20.011713,73.778413,1794,1,1
ATM_000223,BANK_04,Delhi,Delhi,28.590457,77.250437,601,1,8
ATM_000224,BANK_01,Nagpur,Maharashtra,21.217284,79.10619,406,1,9
ATM_000225,BANK_15,Kolkata,West Bengal,22.517617,88.422747,705,0,12
ATM_000226,BANK_08,Nagpur,Maharashtra,21.117336,79.052339,1221,1,55
ATM_000227,BANK_01,Mumbai,Maharashtra,19.118943,72.902401,666,0,75
ATM_000228,BANK_09,Nashik,Maharashtra,19.985891,73.851482,1659,1,79
ATM_000229,BANK_05,Bengaluru,Karnataka,12.925151,77.59342,934,1,29
ATM_000230,BANK_02,Mumbai,Maharashtra,19.050048,72.826625,936,0,44
ATM_000231,BANK_08,Kolkata,West Bengal,22.561089,88.394581,962,0,36
ATM_000232,BANK_07,Delhi,Delhi,28.591576,77.243916,1319,0,15
ATM_000233,BANK_08,Hyderabad,Telangana,17.30876,78.44242,199,1,81
ATM_000234,BANK_06,Nagpur,Maharashtra,21.157888,79.116352,442,0,53
ATM_000235,BANK_11,Nagpur,Maharashtra,21.134205,79.068959,1151,1,94
ATM_000236,BANK_07,Ahmedabad,Gujarat,23.061913,72.47184,1311,1,86
ATM_000237,BANK_03,Chennai,Tamil Nadu,13.094144,80.304605,497,1,51
ATM_000238,BANK_05,Chennai,Tamil Nadu,13.088101,80.325293,1769,0,61
ATM_000239,BANK_12,Chennai,Tamil Nadu,13.049498,80.297021,1447,1,84
ATM_000240,BANK_14,Hyderabad,Telangana,17.415893,78.516715,970,1,47
ATM_000241,BANK_07,Ahmedabad,Gujarat,22.998786,72.56695,1295,1,8
ATM_000242,BANK_01,Mumbai,Maharashtra,19.038718,72.939431,1799,1,19
ATM_000243,BANK_14,Bengaluru,Karnataka,12.909895,77.586813,1153,1,85
ATM_000244,BANK_02,Pune,Maharashtra,18.52112,73.840125,1392,1,38
ATM_000245,BANK_04,Kolkata,West Bengal,22.56495,88.304187,510,1,95
ATM_000246,BANK_08,Bengaluru,Karnataka,12.971724,77.616605,419,1,74
ATM_000247,BANK_12,Kolkata,West Bengal,22.597113,88.371316,535,1,30
ATM_000248,BANK_14,Pune,Maharashtra,18.592218,73.816479,144,1,15
ATM_000249,BANK_07,Ahmedabad,Gujarat,23.034005,72.479703,463,1,84
ATM_000250,BANK_10,Nagpur,Maharashtra,21.11651,79.129931,1795,0,69
ATM_000251,BANK_04,Kolkata,West Bengal,22.536438,88.311145,519,1,25
ATM_000252,BANK_07,Pune,Maharashtra,18.624945,73.834987,695,1,15
ATM_000253,BANK_14,Mumbai,Maharashtra,19.102131,72.805534,999,1,38
ATM_000254,BANK_06,Chennai,Tamil Nadu,13.022708,80.228868,1252,1,61
ATM_000255,BANK_02,Mumbai,Maharashtra,19.048868,72.842116,286,1,37
ATM_000256,BANK_02,Chennai,Tamil Nadu,13.060563,80.287167,426,1,32
ATM_000257,BANK_10,Chennai,Tamil Nadu,13.076167,80.222375,231,0,68
ATM_000258,BANK_01,Nagpur,Maharashtra,21.144272,79.061475,828,1,52
ATM_000259,BANK_13,Mumbai,Maharashtra,19.035747,72.85149,627,1,59
ATM_000260,BANK_11,Kolkata,West Bengal,22.588745,88.370516,1068,0,54
ATM_000261,BANK_08,Mumbai,Maharashtra,19.085584,72.985382,935,1,74
ATM_000262,BANK_14,Delhi,Delhi,28.648554,77.226494,1573,1,26
ATM_000263,BANK_14,Delhi,Delhi,28.656977,77.239888,1203,0,11
ATM_000264,BANK_06,Mumbai,Maharashtra,19.098535,72.93268,393,1,32
ATM_000265,BANK_08,Ahmedabad,Gujarat,23.025542,72.583048,724,1,99
ATM_000266,BANK_14,Hyderabad,Telangana,17.337389,78.421227,1717,1,68
ATM_000267,BANK_12,Hyderabad,Telangana,17.359639,78.444565,1532,0,96
ATM_000268,BANK_04,Pune,Maharashtra,18.502251,73.831292,755,1,24
ATM_000269,BANK_04,Hyderabad,Telangana,17.348617,78.502299,893,0,99
ATM_000270,BANK_02,Bengaluru,Karnataka,12.974928,77.511645,674,1,42
ATM_000271,BANK_04,Chennai,Tamil Nadu,13.026677,80.285293,1293,1,86
ATM_000272,BANK_14,Ahmedabad,Gujarat,23.048215,72.485257,1426,1,77
ATM_000273,BANK_01,Kolkata,West Bengal,22.620782,88.404253,225,1,22
ATM_000274,BANK_06,Delhi,Delhi,28.603431,77.210314,612,1,78
ATM_000275,BANK_15,Ahmedabad,Gujarat,23.075892,72.525979,396,1,28
ATM_000276,BANK_13,Ahmedabad,Gujarat,23.062782,72.612779,1095,0,91
ATM_000277,BANK_10,Pune,Maharashtra,18.491376,73.78724,1030,1,70
ATM_000278,BANK_14,Kolkata,West Bengal,22.538309,88.327581,1585,0,29
ATM_000279,BANK_14,Chennai,Tamil Nadu,13.06324,80.26225,1482,1,72
ATM_000280,BANK_11,Hyderabad,Telangana,17.304803,78.488038,1065,1,51
ATM_000281,BANK_14,Nashik,Maharashtra,19.953345,73.747316,1607,0,21
ATM_000282,BANK_14,Hyderabad,Telangana,17.389476,78.443659,1065,1,32
ATM_000283,BANK_09,Hyderabad,Telangana,17.309886,78.498799,89,1,70
ATM_000284,BANK_09,Nashik,Maharashtra,20.063045,73.807031,262,1,79
ATM_000285,BANK_03,Mumbai,Maharashtra,19.091249,72.899639,1176,1,19
ATM_000286,BANK_15,Hyderabad,Telangana,17.428301,78.492216,336,1,83
ATM_000287,BANK_13,Chennai,Tamil Nadu,13.077414,80.260427,228,1,47
ATM_000288,BANK_09,Pune,Maharashtra,18.551206,73.888188,1143,1,9
ATM_000289,BANK_12,Chennai,Tamil Nadu,13.108868,80.310688,489,1,95
ATM_000290,BANK_07,Hyderabad,Telangana,17.397584,78.475767,403,0,11
ATM_000291,BANK_15,Pune,Maharashtra,18.519351,73.88113,484,1,22
ATM_000292,BANK_14,Kolkata,West Bengal,22.577938,88.369645,906,0,69
ATM_000293,BANK_01,Pune,Maharashtra,18.562969,73.88241,203,0,78
ATM_000294,BANK_14,Mumbai,Maharashtra,19.13295,72.942222,352,0,39
ATM_000295,BANK_05,Nashik,Maharashtra,20.015833,73.784757,212,1,87
ATM_000296,BANK_04,Mumbai,Maharashtra,19.09239,72.863697,1077,0,13
ATM_000297,BANK_13,Nagpur,Maharashtra,21.138332,79.123133,1100,1,61
ATM_000298,BANK_15,Nagpur,Maharashtra,21.140978,79.105702,1752,0,61
ATM_000299,BANK_08,Ahmedabad,Gujarat,23.069161,72.640488,1108,1,100
ATM_000300,BANK_14,Hyderabad,Telangana,17.435121,78.462323,1081,1,35
ATM_000301,BANK_12,Chennai,Tamil Nadu,13.068585,80.273034,655,1,3
ATM_000302,BANK_02,Delhi,Delhi,28.576312,77.236336,1358,1,50
ATM_000303,BANK_09,Chennai,Tamil Nadu,13.084342,80.273242,303,1,48
ATM_000304,BANK_15,Nagpur,Maharashtra,21.127328,78.992712,787,1,17
ATM_000305,BANK_02,Delhi,Delhi,28.643447,77.189683,127,1,31
ATM_000306,BANK_07,Nashik,Maharashtra,19.965663,73.717623,302,1,67
ATM_000307,BANK_14,Ahmedabad,Gujarat,23.018262,72.606273,1763,1,78
ATM_000308,BANK_07,Kolkata,West Bengal,22.518548,88.356891,1693,0,63
ATM_000309,BANK_03,Ahmedabad,Gujarat,23.006507,72.517589,1257,0,25
ATM_000310,BANK_08,Kolkata,West Bengal,22.542555,88.43665,322,0,25
ATM_000311,BANK_08,Pune,Maharashtra,18.483338,73.880134,502,1,34
ATM_000312,BANK_04,Ahmedabad,Gujarat,22.996752,72.639561,524,1,2
ATM_000313,BANK_12,Hyderabad,Telangana,17.343594,78.567382,226,1,25
ATM_000314,BANK_15,Ahmedabad,Gujarat,22.983885,72.495707,1056,1,51
ATM_000315,BANK_10,Kolkata,West Bengal,22.579688,88.339384,1581,0,57
ATM_000316,BANK_10,Chennai,Tamil Nadu,13.086156,80.298053,735,1,65
ATM_000317,BANK_04,Bengaluru,Karnataka,13.033667,77.604319,1291,1,11
ATM_000318,BANK_15,Pune,Maharashtra,18.467499,73.754843,885,1,12
ATM_000319,BANK_04,Delhi,Delhi,28.579811,77.199134,870,1,43
ATM_000320,BANK_09,Hyderabad,Telangana,17.372103,78.548894,836,1,74
ATM_000321,BANK_09,Nagpur,Maharashtra,21.158213,79.083607,1446,1,4
ATM_000322,BANK_02,Delhi,Delhi,28.590604,77.192272,900,1,56
ATM_000323,BANK_03,Delhi,Delhi,28.604325,77.161841,81,1,38
ATM_000324,BANK_09,Nashik,Maharashtra,20.070007,73.73531,1791,1,83
ATM_000325,BANK_02,Pune,Maharashtra,18.501751,73.855886,114,1,32
ATM_000326,BANK_08,Bengaluru,Karnataka,12.980599,77.565492,1237,1,70
ATM_000327,BANK_09,Nashik,Maharashtra,20.008644,73.796341,503,1,54
ATM_000328,BANK_10,Hyderabad,Telangana,17.414673,78.472611,1277,1,66
ATM_000329,BANK_08,Delhi,Delhi,28.686247,77.166653,301,1,51
ATM_000330,BANK_14,Nashik,Maharashtra,19.93994,73.826836,857,1,56
